district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,นิติศักดิ์ ธรรมเพชร,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,ภพเอกอัคร อินทรโม,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,สมเสริม ชูรักษ์,อธิคม ขุนแก้ว,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status,latlong_result_match_method
ควนขนุน,ควนขนุน(เทศบาล),0,constituency,election_day,256,237,5,14,64,4,37,115,12,3,2,4,377,ควนขนุน,ควนขนุน(เทศบาล),1,5,อาคารอเนกประสงค์ ส านักงานเทศบาลต าบลควนขนุน,349,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,7.734476799999999,100.0124479,2,268,location_exact_normalized,1.0,1,ควนขนุน(เทศบาล)|0,matched,exact_key
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,337,322,6,9,76,9,50,163,22,0,2,4,378,ควนขนุน,ควนขนุน(เทศบาล),2,9,อาคารหอประชุมโรงเรียนบ้านควนขนุน,479,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,อาคารหอประชุม โรงเรียนบ้านควนขนุน,7.733656099999999,100.007411,2,269,location_exact_normalized,1.0,1,ควนขนุน(เทศบาล)|1,matched,exact_key
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,403,383,4,16,94,4,62,187,34,1,1,4,379,ควนขนุน,ควนขนุน(เทศบาล),3,9,ศาลาการเปรียญวัดสุวรรณวิชัย,599,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,ศาลาการเปรียญ วัดสุวรรณวิชัย,7.737481399999999,100.0066003,2,270,location_exact_normalized,1.0,1,ควนขนุน(เทศบาล)|2,matched,exact_key
ควนขนุน,ควนขนุน(เทศบาล),3,constituency,election_day,206,199,1,6,23,5,41,112,17,0,1,4,380,ควนขนุน,ควนขนุน(เทศบาล),4,9,อาคารพ่อท่านนะ  วัดสุวรรณวิชัย,296,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,7.7484794,100.0080005,2,271,location_exact_normalized,1.0,1,ควนขนุน(เทศบาล)|3,matched,exact_key
ควนขนุน,ควนขนุน,0,constituency,election_day,384,378,4,2,134,8,23,201,11,1,0,4,381,ควนขนุน,ควนขนุน,1,1,ศาลาประจ าหมู่บ้านบ้านควนบก,447,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านควนบก,7.7485644,100.007979,2,8,location_exact_normalized,1.0,1,ควนขนุน|0,matched,exact_key
ควนขนุน,ควนขนุน,1,constituency,election_day,305,297,5,3,100,1,23,167,6,0,0,4,382,ควนขนุน,ควนขนุน,2,2,ศาลา อพป.บ้านดอนนูด,399,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลา อพป.บ้านดอนนูด,7.7484794,100.0080005,2,9,location_exact_normalized,1.0,1,ควนขนุน|1,matched,exact_key
ควนขนุน,ควนขนุน,2,constituency,election_day,639,605,15,19,150,2,76,336,35,2,4,4,383,ควนขนุน,ควนขนุน,3,3,ศาลาประจ าหมู่บ้านบ้านโคกวัด,761,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านโคกวัด,7.747440399999999,99.9966606,2,10,location_exact_normalized,1.0,1,ควนขนุน|2,matched,exact_key
ควนขนุน,ควนขนุน,3,constituency,election_day,707,675,17,15,226,5,78,310,56,0,0,4,384,ควนขนุน,ควนขนุน,4,4,ศาลาประจ าหมู่บ้านบ้านโคกวา,909,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านโคกวา,7.7516832,100.0132899,2,11,location_exact_normalized,1.0,1,ควนขนุน|3,matched,exact_key
ควนขนุน,ควนขนุน,4,constituency,election_day,381,371,5,5,166,6,38,144,16,0,1,4,385,ควนขนุน,ควนขนุน,5,5,ศาลาประจ าหมู่บ้านบ้านเพิง,465,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านเพิง,7.764699,100.0024084,2,12,location_exact_normalized,1.0,1,ควนขนุน|4,matched,exact_key
ควนขนุน,ควนขนุน,5,constituency,election_day,623,598,12,13,240,6,51,270,27,1,3,4,386,ควนขนุน,ควนขนุน,6,6,ศาลาประจ าหมู่บ้านบ้านควนพลี,735,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านควนพลี,7.7625474,100.0007649,2,13,location_exact_normalized,1.0,1,ควนขนุน|5,matched,exact_key
