district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,candidate_or_party,votes,vote_share
ควนขนุน,ควนขนุน(เทศบาล),0,constituency,election_day,7.734476799999999,100.0124479,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,256,237,5,14,นิติศักดิ์ ธรรมเพชร,64,0.270042194092827
ควนขนุน,ควนขนุน(เทศบาล),1,constituency,election_day,7.733656099999999,100.007411,อาคารหอประชุม โรงเรียนบ้านควนขนุน,337,322,6,9,นิติศักดิ์ ธรรมเพชร,76,0.2360248447204969
ควนขนุน,ควนขนุน(เทศบาล),2,constituency,election_day,7.737481399999999,100.0066003,ศาลาการเปรียญ วัดสุวรรณวิชัย,403,383,4,16,นิติศักดิ์ ธรรมเพชร,94,0.2454308093994778
ควนขนุน,ควนขนุน(เทศบาล),3,constituency,election_day,7.7484794,100.0080005,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,206,199,1,6,นิติศักดิ์ ธรรมเพชร,23,0.11557788944723618
ควนขนุน,ควนขนุน,0,constituency,election_day,7.7485644,100.007979,ศาลาประจำหมู่บ้านบ้านควนบก,384,378,4,2,นิติศักดิ์ ธรรมเพชร,134,0.3544973544973545
ควนขนุน,ควนขนุน,1,constituency,election_day,7.7484794,100.0080005,ศาลา อพป.บ้านดอนนูด,305,297,5,3,นิติศักดิ์ ธรรมเพชร,100,0.3367003367003367
ควนขนุน,ควนขนุน,2,constituency,election_day,7.747440399999999,99.9966606,ศาลาประจำหมู่บ้านบ้านโคกวัด,639,605,15,19,นิติศักดิ์ ธรรมเพชร,150,0.24793388429752067
ควนขนุน,ควนขนุน,3,constituency,election_day,7.7516832,100.0132899,ศาลาประจำหมู่บ้านบ้านโคกวา,707,675,17,15,นิติศักดิ์ ธรรมเพชร,226,0.3348148148148148
ควนขนุน,ควนขนุน,4,constituency,election_day,7.764699,100.0024084,ศาลาประจำหมู่บ้านบ้านเพิง,381,371,5,5,นิติศักดิ์ ธรรมเพชร,166,0.4474393530997305
ควนขนุน,ควนขนุน,5,constituency,election_day,7.7625474,100.0007649,ศาลาประจำหมู่บ้านบ้านควนพลี,623,598,12,13,นิติศักดิ์ ธรรมเพชร,240,0.4013377926421405
