form_type,vote_phase,district,subdistrict,unit_index,ballot_total,ballot_valid,latlong_merge_status
constituency,election_day,กงหรา2,ชะรัด,0,593,565,unmatched
constituency,election_day,กงหรา2,ชะรัด,1,419,393,unmatched
constituency,election_day,กงหรา2,ชะรัด,2,655,619,unmatched
constituency,election_day,กงหรา2,ชะรัด,3,331,313,unmatched
constituency,election_day,กงหรา2,ชะรัด,4,399,383,unmatched
constituency,election_day,กงหรา2,ชะรัด,5,429,411,unmatched
constituency,election_day,กงหรา2,ชะรัด,6,277,264,unmatched
constituency,election_day,กงหรา2,ชะรัด,7,617,590,unmatched
constituency,election_day,กงหรา2,ชะรัด,8,383,341,unmatched
constituency,election_day,กงหรา2,ชะรัด,9,517,490,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,0,645,610,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,1,345,332,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,2,363,342,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,3,418,371,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,4,402,387,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,5,493,461,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,6,274,255,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,7,637,609,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,8,290,277,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,9,349,340,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,10,547,519,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,11,244,233,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,12,254,245,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,13,275,260,unmatched
constituency,election_day,ศรีนครินทร์,ชุมพล,14,247,239,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,0,619,582,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,1,185,182,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,2,501,482,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,3,439,422,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,4,314,298,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,5,433,418,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,6,406,395,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,7,591,576,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,8,329,317,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,9,341,336,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,10,427,413,unmatched
constituency,election_day,ศรีนครินทร์,บ้านนา,11,387,362,unmatched
constituency,election_day,ป่าพะยอม,ลานข่อย,10,342,327,unmatched
constituency,election_day,ป่าพะยอม,ลานข่อย,11,595,581,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,0,561,534,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,1,399,388,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,2,536,511,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,3,221,214,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,4,417,400,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,5,591,568,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,6,604,587,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,7,563,544,unmatched
constituency,election_day,ศรีนครินทร์,ลำสินธ์ุ,8,233,225,unmatched
constituency,election_day,ป่าพะยอม,เกาะเต่า,15,371,356,unmatched
constituency,election_day,ป่าพะยอม,เกาะเต่า,16,380,362,unmatched
constituency,out_of_district_advance,,,0,765,695,unmatched
constituency,out_of_district_advance,,,1,761,689,unmatched
constituency,out_of_district_advance,,,2,765,719,unmatched
constituency,out_of_district_advance,,,3,520,475,unmatched
constituency,out_of_district_advance,,,4,765,705,unmatched
constituency,out_of_district_advance,,,5,763,692,unmatched
constituency,out_of_district_advance,,,6,765,705,unmatched
constituency,out_of_district_advance,,,7,765,692,unmatched
constituency,out_of_district_advance,,,8,765,687,unmatched
constituency,out_of_district_advance,,,9,770,699,unmatched
constituency,in_district_advance,,,0,9,9,unmatched
partylist,election_day,กงหรา2,ชะรัด,0,593,562,unmatched
