form_type,vote_phase,district,subdistrict,unit_index,ballot_total,ballot_valid,latlong_merge_status
constituency,election_day,ป่าพะยอม,ลานข่อย,10,342,327,unmatched
constituency,election_day,ป่าพะยอม,ลานข่อย,11,595,581,unmatched
constituency,election_day,ป่าพะยอม,เกาะเต่า,15,371,356,unmatched
constituency,election_day,ป่าพะยอม,เกาะเต่า,16,380,362,unmatched
constituency,out_of_district_advance,,,0,765,695,unmatched
constituency,out_of_district_advance,,,1,761,689,unmatched
constituency,out_of_district_advance,,,2,765,719,unmatched
constituency,out_of_district_advance,,,3,520,475,unmatched
constituency,out_of_district_advance,,,4,765,705,unmatched
constituency,out_of_district_advance,,,5,763,692,unmatched
constituency,out_of_district_advance,,,6,765,705,unmatched
constituency,out_of_district_advance,,,7,765,692,unmatched
constituency,out_of_district_advance,,,8,765,687,unmatched
constituency,out_of_district_advance,,,9,770,699,unmatched
constituency,in_district_advance,,,0,9,9,unmatched
partylist,election_day,ป่าพะยอม,ลานข่อย,10,342,336,unmatched
partylist,election_day,ป่าพะยอม,ลานข่อย,11,595,572,unmatched
partylist,election_day,ป่าพะยอม,เกาะเต่า,15,371,360,unmatched
partylist,election_day,ป่าพะยอม,เกาะเต่า,16,380,356,unmatched
partylist,out_of_district_advance,,,0,765,729,unmatched
partylist,out_of_district_advance,,,1,762,731,unmatched
partylist,out_of_district_advance,,,2,765,745,unmatched
partylist,out_of_district_advance,,,3,520,498,unmatched
partylist,out_of_district_advance,,,4,765,731,unmatched
partylist,out_of_district_advance,,,5,763,727,unmatched
partylist,out_of_district_advance,,,6,765,733,unmatched
partylist,out_of_district_advance,,,7,765,736,unmatched
partylist,out_of_district_advance,,,8,765,739,unmatched
partylist,out_of_district_advance,,,9,770,741,unmatched
partylist,in_district_advance,,,0,9,9,unmatched
