district,subdistrict,unit_index,form_type,vote_phase,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,กรีน,กล้าธรรม,ก้าวอิสระ,ครูไทยเพื่อประชาชน,คลองไทย,ความหวังใหม่,ทางเลือกไทย,ท้องที่ไทย,ประชากรไทย,ประชาชน,ประชาชาติ,ประชาธิปัตย์,ประชาธิปไดยใหม่,ประชาอาสาชาติ,ประชาไทย,ปวงชนไทย,พร้อม,พลวัต,พลังธรรมใหม่,พลังประชารัฐ,พลังสังคมใหม่,พลังเพื่อไทย,พลังไทยรักชาติ,ฟิวชัน,ภูมิใจไทย,มิติใหม่,รวมพลังประชาชน,รวมใจไทย,รวมไทยสร้างชาติ,รักชาติ,วิชชั่นใหม่,สร้างอนาคตไทย,สังคมประชาธิปไดยไทย,อนาคตไทย,เครือข่ายชาวนาแห่งประเทศไทย,เป็นธรรม,เพื่อชาติไทย,เพื่อชีวิตใหม่,เพื่อบ้านเมือง,เพื่อไทย,เศรษฐกิจ,เสรีรวมไทย,แผ่นดินธรรม,แรงงานสร้างชาติ,โอกาสใหม่,ใหม่,ไทยก้าวหน้า,ไทยก้าวใหม่,ไทยชนะ,ไทยทรัพย์ทวี,ไทยธรรม,ไทยพร้อม,ไทยพิทักษ์ธรรม,ไทยภักดี,ไทยรวมไทย,ไทยสร้างไทย,ไทรวมพลัง,pdf_page,pdf_sequence,unit_district,source_subdistrict_pdf,polling_unit_no,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit,latlong_merge_status
ควนขนุน,ควนขนุน(เทศบาล),0,partylist,election_day,256,238,11,7,0,0,0,0,4,0,0,0,0,34,0,108,1,0,0,0,0,0,0,1,0,0,0,0,56,0,1,0,9,0,0,0,0,0,0,0,2,1,1,12,1,1,0,0,0,0,1,1,0,1,0,0,0,3,0,0,0,4.0,377.0,ควนขนุน,ควนขนุน(เทศบาล),1.0,5,อาคารอเนกประสงค์ ส านักงานเทศบาลต าบลควนขนุน,349.0,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,อาคารอเนกประสงค์ สำนักงานเทศบาลตำบลควนขนุน,7.734476799999999,100.0124479,2.0,268.0,location_exact_normalized,1.0,1.0,ควนขนุน(เทศบาล)|0,matched
ควนขนุน,ควนขนุน(เทศบาล),1,partylist,election_day,337,320,8,9,0,1,0,0,0,0,1,0,0,45,0,137,2,0,0,0,1,0,0,0,0,0,0,0,87,0,0,0,8,1,0,1,0,0,0,0,2,0,0,15,7,0,0,0,1,0,0,2,0,1,0,0,0,8,0,0,0,4.0,378.0,ควนขนุน,ควนขนุน(เทศบาล),2.0,9,อาคารหอประชุมโรงเรียนบ้านควนขนุน,479.0,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,อาคารหอประชุม โรงเรียนบ้านควนขนุน,7.733656099999999,100.007411,2.0,269.0,location_exact_normalized,1.0,1.0,ควนขนุน(เทศบาล)|1,matched
ควนขนุน,ควนขนุน(เทศบาล),2,partylist,election_day,403,390,8,5,0,0,0,0,1,0,0,0,0,51,0,146,4,0,0,0,0,1,0,0,0,0,0,0,117,0,0,0,11,0,0,1,0,0,0,0,2,0,2,31,5,3,0,0,0,2,0,1,0,3,0,0,0,8,0,1,0,4.0,379.0,ควนขนุน,ควนขนุน(เทศบาล),3.0,9,ศาลาการเปรียญวัดสุวรรณวิชัย,599.0,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,ศาลาการเปรียญ วัดสุวรรณวิชัย,7.737481399999999,100.0066003,2.0,270.0,location_exact_normalized,1.0,1.0,ควนขนุน(เทศบาล)|2,matched
ควนขนุน,ควนขนุน(เทศบาล),3,partylist,election_day,206,199,3,4,0,2,0,0,0,0,1,0,0,34,0,79,2,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,6,0,0,0,1,0,0,0,1,0,0,13,2,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,4.0,380.0,ควนขนุน,ควนขนุน(เทศบาล),4.0,9,อาคารพ่อท่านนะ  วัดสุวรรณวิชัย,296.0,พัทลุง,ท้องถิ่นเทศบาลตำบลควนขนุน,ควนขนุน,อาคารพ่อท่านนะ วัดสุวรรณวิชัย,7.7484794,100.0080005,2.0,271.0,location_exact_normalized,1.0,1.0,ควนขนุน(เทศบาล)|3,matched
ควนขนุน,ควนขนุน,0,partylist,election_day,384,365,11,8,0,0,0,0,2,0,1,0,0,46,0,215,3,0,0,1,0,1,1,0,0,1,0,0,41,0,1,2,6,0,0,0,0,0,0,0,3,2,0,29,2,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,4.0,381.0,ควนขนุน,ควนขนุน,1.0,1,ศาลาประจ าหมู่บ้านบ้านควนบก,447.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านควนบก,7.7485644,100.007979,2.0,8.0,location_exact_normalized,1.0,1.0,ควนขนุน|0,matched
ควนขนุน,ควนขนุน,1,partylist,election_day,305,301,4,0,0,1,0,0,1,6,0,0,0,15,0,202,8,0,0,0,0,2,0,0,0,1,0,0,30,0,0,2,5,0,0,0,1,0,0,0,2,0,0,10,4,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,1,4.0,382.0,ควนขนุน,ควนขนุน,2.0,2,ศาลา อพป.บ้านดอนนูด,399.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลา อพป.บ้านดอนนูด,7.7484794,100.0080005,2.0,9.0,location_exact_normalized,1.0,1.0,ควนขนุน|1,matched
ควนขนุน,ควนขนุน,2,partylist,election_day,639,612,17,10,0,0,0,2,0,0,0,0,0,70,1,371,7,0,0,0,0,4,1,2,0,1,0,0,99,2,0,0,5,0,1,0,1,0,0,0,3,0,2,23,3,2,0,0,0,1,0,3,0,3,0,0,0,4,0,1,0,4.0,383.0,ควนขนุน,ควนขนุน,3.0,3,ศาลาประจ าหมู่บ้านบ้านโคกวัด,761.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านโคกวัด,7.747440399999999,99.9966606,2.0,10.0,location_exact_normalized,1.0,1.0,ควนขนุน|2,matched
ควนขนุน,ควนขนุน,3,partylist,election_day,707,671,32,4,0,1,0,0,1,4,5,0,1,89,0,371,12,0,2,0,0,4,0,0,0,0,1,1,99,0,1,3,2,0,0,1,1,1,0,0,7,1,1,27,11,2,0,1,0,1,2,0,1,12,0,1,0,4,0,0,0,4.0,384.0,ควนขนุน,ควนขนุน,4.0,4,ศาลาประจ าหมู่บ้านบ้านโคกวา,909.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านโคกวา,7.7516832,100.0132899,2.0,11.0,location_exact_normalized,1.0,1.0,ควนขนุน|3,matched
ควนขนุน,ควนขนุน,4,partylist,election_day,381,368,8,5,0,1,0,0,1,0,1,0,1,33,0,214,2,0,1,0,0,10,0,0,0,0,0,0,61,0,0,0,11,0,0,0,0,0,0,0,0,1,0,19,3,0,0,0,0,3,1,1,2,1,0,0,0,1,0,0,0,4.0,385.0,ควนขนุน,ควนขนุน,5.0,5,ศาลาประจ าหมู่บ้านบ้านเพิง,465.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านเพิง,7.764699,100.0024084,2.0,12.0,location_exact_normalized,1.0,1.0,ควนขนุน|4,matched
ควนขนุน,ควนขนุน,5,partylist,election_day,623,599,22,2,2,0,0,0,1,0,1,0,0,87,3,347,2,0,0,0,0,5,0,1,0,1,2,1,74,0,3,1,3,1,1,0,0,0,0,0,4,0,1,40,4,4,0,0,0,1,0,0,1,5,0,0,0,1,0,1,1,4.0,386.0,ควนขนุน,ควนขนุน,6.0,6,ศาลาประจ าหมู่บ้านบ้านควนพลี,735.0,พัทลุง,อำเภอควนขนุน,ควนขนุน,ศาลาประจำหมู่บ้านบ้านควนพลี,7.7625474,100.0007649,2.0,13.0,location_exact_normalized,1.0,1.0,ควนขนุน|5,matched
