source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,อธิคม ขุนแก้ว,ภพเอกอัคร อินทรโม,สมเสริม ชูรักษ์,นิติศักดิ์ ธรรมเพชร
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,0,PASS,OK,,340,335,2,3,,,143,21,3,1,31,0,136
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,1,PASS,OK,,603,583,16,4,,,344,42,3,0,47,0,147
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,PASS,OK,,335,326,2,7,,,136,16,0,0,27,2,145
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,PASS,OK,,144,142,2,0,,,72,5,0,0,3,0,62
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,PASS,OK,,549,531,10,8,,,235,33,3,4,56,1,199
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,5,PASS,OK,,376,369,4,3,,,147,35,2,0,56,1,128
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,6,PASS,OK,score_outlier: นิติศักดิ์ ธรรมเพชร,614,602,4,8,,,230,31,2,1,98,2,238
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,PASS,OK,,343,335,5,3,,,190,10,3,1,9,1,121
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,PASS,OK,,339,324,6,9,,,155,21,5,1,33,0,109
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,0,PASS,OK,,359,340,9,10,,,183,27,6,2,35,1,86
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,1,PASS,OK,,494,464,15,15,,,192,38,1,1,58,0,174
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,2,PASS,OK,,198,181,4,13,,,120,9,0,0,16,0,36
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,PASS,OK,,298,282,8,8,,,185,14,2,1,22,1,57
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,PASS,OK,,253,233,3,17,,,119,9,4,4,27,0,70
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,5,PASS,OK,,499,478,10,11,,,245,40,4,0,38,2,149
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,PASS,OK,,361,349,6,6,,,218,12,3,1,15,2,98
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,PASS,OK,,435,412,10,13,,,198,22,5,3,65,2,117
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,PASS,OK,,290,278,4,8,,,122,16,5,1,21,0,113
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,PASS,OK,,283,278,2,3,,,200,14,0,0,29,0,35
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,PASS,OK,,357,341,6,10,,,195,21,4,1,40,1,79
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,PASS,OK,,404,387,9,8,,,272,25,3,1,34,1,51
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,PASS,OK,,396,384,6,6,,,254,25,0,1,25,0,79
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,PASS,OK,,537,524,3,10,,,302,24,11,1,57,0,129
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,3,PASS,OK,,474,456,11,7,,,280,21,2,0,36,0,117
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,4,PASS,OK,,451,439,8,4,,,271,26,1,1,49,0,91
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,PASS,OK,,496,468,15,13,,,232,21,3,5,40,3,164
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,6,PASS,OK,,552,511,18,23,,,266,32,3,3,43,0,164
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,7,PASS,OK,,537,520,8,9,,,248,27,21,2,71,1,150
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,PASS,OK,,375,359,3,13,,,249,18,0,2,45,0,45
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,PASS,OK,,446,428,13,5,,,287,15,0,0,33,0,93
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,PASS,OK,,765,695,6,64,,,197,286,18,8,88,7,91
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,PASS,MISMATCH,,761,689,11,61,,ballot_total differs between forms,211,233,19,6,101,5,114
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,PASS,OK,,765,719,15,31,,,257,248,17,10,85,6,96
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,PASS,OK,,520,475,5,40,,,172,159,9,5,65,5,60
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,PASS,OK,,765,705,11,49,,,214,276,13,10,88,3,101
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,PASS,OK,,763,692,12,59,,,209,238,15,11,98,5,116
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,PASS,OK,,765,705,10,50,,,217,298,11,2,74,5,98
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,PASS,OK,,765,692,11,62,,,229,241,19,9,92,7,95
