source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,อธิคม ขุนแก้ว,ภพเอกอัคร อินทรโม,สมเสริม ชูรักษ์,นิติศักดิ์ ธรรมเพชร
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,FAIL,OK,,,695.0,6.0,64.0,,ballot_total is None,197.0,286.0,18.0,8.0,88.0,7.0,91.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,FAIL,OK,,,689.0,11.0,61.0,,ballot_total is None,211.0,233.0,19.0,6.0,101.0,5.0,114.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,FAIL,OK,,,719.0,15.0,31.0,,ballot_total is None,257.0,248.0,17.0,10.0,85.0,6.0,96.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,FAIL,OK,,,475.0,5.0,40.0,,sum(scores.values()) does not equal ballot_valid; ballot_total is None,142.0,159.0,9.0,9.0,65.0,9.0,100.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,FAIL,OK,,,705.0,11.0,49.0,,ballot_total is None,214.0,276.0,13.0,10.0,88.0,3.0,101.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,FAIL,OK,,,692.0,12.0,59.0,,ballot_total is None,209.0,238.0,15.0,11.0,98.0,5.0,116.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,FAIL,OK,,,705.0,10.0,50.0,,ballot_total is None,217.0,298.0,11.0,2.0,74.0,5.0,98.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,FAIL,OK,,,692.0,11.0,62.0,,ballot_total is None,229.0,241.0,19.0,9.0,92.0,7.0,95.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,FAIL,OK,,,687.0,13.0,65.0,,ballot_total is None,221.0,268.0,9.0,4.0,77.0,8.0,100.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,FAIL,OK,,,699.0,13.0,58.0,,ballot_total is None,220.0,230.0,17.0,11.0,91.0,5.0,125.0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,FAIL,MISMATCH,,404.0,397.0,9.0,8.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,272.0,25.0,9.0,1.0,34.0,1.0,51.0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,PASS,OK,,396.0,384.0,6.0,6.0,,,254.0,25.0,0.0,1.0,25.0,0.0,79.0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,FAIL,OK,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์,537.0,524.0,3.0,10.0,,scores['สมเสริม ชูรักษ์'] is None,802.0,24.0,11.0,1.0,57.0,,129.0
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,3,PASS,OK,,474.0,456.0,11.0,7.0,,,280.0,21.0,2.0,0.0,36.0,0.0,117.0
