source_file,unit_index,form_type,status,cross_status,issues,stat_flags
อำเภอควนขนุน/33ตำบลควนขนุน(เทศบาล).pdf,1,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,0,constituency,FAIL,MISMATCH,sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,1,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,2,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,3,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,5,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,7,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ศุภกร ขุนชิต'] is None; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอควนขนุน/34ตำบลควนขนุน.pdf,8,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,0,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,1,constituency,FAIL,OK,scores['อธิคม ขุนแก้ว'] is None; scores['สมเสริม ชูรักษ์'] is None,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,3,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_valid is None; ballot_no_vote is None,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,4,constituency,FAIL,MISMATCH,scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; ballot_total differs between forms,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,5,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,6,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอควนขนุน/27ตำบลชะมวง.pdf,7,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_valid is None,
