source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,constituency,,695.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,constituency,,689.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,constituency,,719.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,constituency,,475.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,constituency,,705.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,constituency,,692.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,constituency,,705.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,constituency,,692.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,constituency,,687.0,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,constituency,,699.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,constituency,404.0,397.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,constituency,396.0,384.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,constituency,537.0,524.0,,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,3,constituency,474.0,456.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,4,constituency,451.0,439.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,constituency,496.0,468.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,6,constituency,552.0,511.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,7,constituency,637.0,520.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,constituency,375.0,359.0,,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,constituency,446.0,428.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,0,constituency,359.0,340.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,1,constituency,494.0,464.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,2,constituency,198.0,191.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,constituency,298.0,282.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,constituency,943.0,937.0,,ballot_total_outlier
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,5,constituency,499.0,478.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,constituency,361.0,349.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,7,constituency,105.0,412.0,,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,constituency,290.0,278.0,,
