source_file,unit_index,form_type,status,cross_status,issues,stat_flags
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,0,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,1,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ศุภกร ขุนชิต; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,score_outlier: สมเสริม ชูรักษ์
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,2,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,3,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,4,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,6,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,8,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,9,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,10,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,0,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,1,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_valid is None,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,2,constituency,FAIL,OK,scores['สมเสริม ชูรักษ์'] is None,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,5,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,8,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['สมเสริม ชูรักษ์'] is None; ballot_total differs between forms,
อำเภอศรีบรรพต/39ตำบลเขาย่า.pdf,9,constituency,FAIL,MISMATCH,scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['สมเสริม ชูรักษ์'] is None; ballot_total differs between forms,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,constituency,FAIL,OK,ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,constituency,FAIL,OK,ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,constituency,FAIL,OK,ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,constituency,FAIL,OK,ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,constituency,FAIL,OK,ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,constituency,FAIL,OK,ballot_total is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,constituency,FAIL,OK,ballot_total is None; scores['อธิคม ขุนแก้ว'] is None,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,constituency,FAIL,OK,ballot_total is None,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,0,partylist,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ไทยทรัพย์ทวี'] is None; scores['เพื่อชาติไทย'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['รวมไทยสร้างชาติ'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['เพื่อไทย'] is None,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,1,partylist,FAIL,OK,sum(scores.values()) does not equal ballot_valid; ballot_valid is None,
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,ballot_total_outlier; single_party_dominance: พลวัต; single_party_dominance: เพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย; single_party_dominance: ประชาชน
