source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,ไทยทรัพย์ทวี,เพื่อชาติไทย,ใหม่,มิติใหม่,รวมใจไทย,รวมไทยสร้างชาติ,พลวัต,ประชาธิปไดยใหม่,เพื่อไทย,ทางเลือกไทย,เศรษฐกิจ,เสรีรวมไทย,รวมพลังประชาชน,ท้องที่ไทย,อนาคตไทย,พลังเพื่อไทย,ไทยชนะ,พลังสังคมใหม่,สังคมประชาธิปไดยไทย,ฟิวชัน,ไทรวมพลัง,ก้าวอิสระ,ปวงชนไทย,วิชชั่นใหม่,เพื่อชีวิตใหม่,คลองไทย,ประชาธิปัตย์,ไทยก้าวหน้า,ไทยภักดี,แรงงานสร้างชาติ,ประชากรไทย,ครูไทยเพื่อประชาชน,ประชาชาติ,สร้างอนาคตไทย,รักชาติ,ไทยพร้อม,ภูมิใจไทย,พลังธรรมใหม่,กรีน,ไทยธรรม,แผ่นดินธรรม,กล้าธรรม,พลังประชารัฐ,โอกาสใหม่,เป็นธรรม,ประชาชน,ประชาไทย,ไทยสร้างไทย,ไทยก้าวใหม่,ประชาอาสาชาติ,พร้อม,เครือข่ายชาวนาแห่งประเทศไทย,ไทยพิทักษ์ธรรม,ความหวังใหม่,ไทยรวมไทย,เพื่อบ้านเมือง,พลังไทยรักชาติ
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,0,PASS,OK,,340,329,9,2,,,4,2,0,0,0,3,3,3,19,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,1,0,0,1,0,0,1,0,0,40,0,0,0,0,2,0,0,1,31,2,0,1,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,1,PASS,OK,score_outlier: แรงงานสร้างชาติ,603,582,15,6,,,8,3,0,0,1,3,4,4,40,2,9,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,272,0,3,2,0,0,2,1,1,0,121,0,0,0,0,0,0,0,0,98,0,1,1,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,2,PASS,OK,score_outlier: ครูไทยเพื่อประชาชน,335,323,4,8,,,3,1,0,0,1,1,8,3,15,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,208,0,1,1,0,1,2,0,0,0,15,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,2,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,3,PASS,OK,score_outlier: แผ่นดินธรรม,144,143,1,0,,,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,23,1,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,4,PASS,OK,score_outlier: ครูไทยเพื่อประชาชน; score_outlier: รักชาติ; score_outlier: ความหวังใหม่,549,522,18,9,,,7,2,0,0,1,3,6,5,20,3,5,1,1,0,0,0,2,0,0,0,0,0,0,1,1,0,297,0,2,0,0,1,0,0,2,0,40,0,0,0,0,5,0,1,0,111,1,0,1,0,1,0,0,1,0,1,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,5,PASS,OK,score_outlier: วิชชั่นใหม่; score_outlier: แรงงานสร้างชาติ,376,369,5,2,,,6,0,0,0,3,4,8,0,11,2,5,1,1,0,0,0,0,0,1,1,0,0,0,2,2,2,227,0,2,2,0,0,0,0,0,0,36,0,0,0,0,1,0,0,1,50,0,1,0,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,6,PASS,OK,score_outlier: มิติใหม่; score_outlier: ประชาธิปัตย์; score_outlier: ประชาอาสาชาติ; score_outlier: พร้อม,614,602,6,6,,,6,2,0,2,1,4,5,3,16,1,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,435,0,0,0,0,0,0,1,0,0,46,0,0,0,0,0,0,0,0,65,1,0,0,1,2,0,0,0,1,2,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,7,PASS,OK,score_outlier: ท้องที่ไทย; score_outlier: เพื่อชีวิตใหม่; score_outlier: เพื่อบ้านเมือง,343,336,5,2,,,3,1,0,0,0,0,1,5,28,1,1,2,0,1,0,0,2,0,1,0,0,0,0,1,3,1,202,0,0,0,0,0,1,0,0,0,42,0,0,0,0,2,0,0,0,32,0,0,1,0,0,0,0,0,1,4,0
อำเภอศรีบรรพต/41ตำบลตะแพน.pdf,8,PASS,OK,score_outlier: ปวงชนไทย; score_outlier: ไทยพร้อม,339,320,12,7,,,1,0,0,0,0,8,2,2,7,2,3,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,196,1,0,0,1,0,0,0,0,2,36,0,0,0,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
อำเภอศรีบรรพต/40ตำบลเขาปู่.pdf,0,PASS,OK,score_outlier: พลังสังคมใหม่,359,345,7,7,,,2,2,0,0,1,5,2,3,23,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,192,1,4,0,0,0,2,0,0,1,41,0,0,0,0,0,0,0,1,53,0,0,1,0,0,0,0,0,1,0,1
