source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,วรท เทอดวีระพงศ์,ศุภกร ขุนชิต,พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง,อธิคม ขุนแก้ว,ภพเอกอัคร อินทรโม,สมเสริม ชูรักษ์,นิติศักดิ์ ธรรมเพชร
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,0,FAIL,OK,,316.0,308.0,8.0,6.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['อธิคม ขุนแก้ว'] is None,117.0,19.0,2.0,,82.0,1.0,137.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,1,PASS,OK,,665.0,625.0,23.0,17.0,,,256.0,33.0,3.0,2.0,109.0,1.0,221.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,2,PASS,OK,,396.0,379.0,13.0,4.0,,,189.0,22.0,1.0,0.0,46.0,0.0,121.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,3,FAIL,MISMATCH,,359.0,332.0,20.0,6.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,166.0,16.0,0.0,1.0,60.0,1.0,88.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,4,PASS,MISMATCH,,413.0,392.0,9.0,12.0,,ballot_total differs between forms,175.0,29.0,2.0,3.0,48.0,0.0,135.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,5,FAIL,MISMATCH,,2.0,345.0,20.0,9.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,68.0,38.0,4.0,3.0,56.0,0.0,176.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,6,FAIL,MISMATCH,,2.0,411.0,12.0,,,sum(scores.values()) does not equal ballot_valid; ballot_no_vote is None; ballot_total differs between forms,135.0,25.0,0.0,1.0,60.0,2.0,198.0
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,7,PASS,OK,,197.0,186.0,4.0,7.0,,,61.0,5.0,0.0,1.0,36.0,0.0,83.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,0,FAIL,OK,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์,593.0,565.0,14.0,14.0,,sum(scores.values()) does not equal ballot_valid,978.0,31.0,1.0,2.0,42.0,2.0,209.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,1,FAIL,MISMATCH,ballot_total_outlier,500021.0,3317.0,3317.0,1.0,"ballot_total: '5,000,21' → 500021 (removed comma); ballot_valid: '3,317' → 3317 (removed comma); ballot_invalid: '3,317' → 3317 (removed comma)",ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,215.0,27.0,4.0,0.0,27.0,2.0,178.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,2,FAIL,MISMATCH,,655.0,619.0,26.0,10.0,,scores['อธิคม ขุนแก้ว'] is None; ballot_total differs between forms,273.0,39.0,3.0,,70.0,2.0,232.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,3,FAIL,MISMATCH,,351.0,347.0,4.0,14.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,79.0,21.0,2.0,2.0,18.0,1.0,190.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,4,FAIL,MISMATCH,,999.0,383.0,12.0,4.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,92.0,50.0,2.0,1.0,33.0,1.0,204.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,5,FAIL,MISMATCH,,2.0,411.0,14.0,4.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,137.0,49.0,6.0,0.0,18.0,0.0,201.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,6,FAIL,MISMATCH,,272.0,264.0,7.0,6.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,142.0,16.0,1.0,1.0,30.0,1.0,73.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,7,PASS,OK,,617.0,590.0,14.0,13.0,,,277.0,26.0,3.0,1.0,69.0,3.0,211.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,8,FAIL,MISMATCH,score_outlier: อธิคม ขุนแก้ว,75.0,727.0,25.0,5.0,ballot_total: '๗๕' → 75 (thai digit); ballot_valid: '๗๒๗' → 727 (thai digit); ballot_invalid: '๒๕' → 25 (thai digit); ballot_no_vote: '๕' → 5 (thai digit); scores['วรท เทอดวีระพงศ์']: '๑๑๓' → 113 (thai digit); scores['ศุภกร ขุนชิต']: '๓๕' → 35 (thai digit); scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง']: '๙' → 9 (thai digit); scores['อธิคม ขุนแก้ว']: '๙' → 9 (thai digit); scores['ภพเอกอัคร อินทรโม']: '๕๑' → 51 (thai digit); scores['สมเสริม ชูรักษ์']: '๙' → 9 (thai digit); scores['นิติศักดิ์ ธรรมเพชร']: '๑๓๙' → 139 (thai digit),ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,113.0,35.0,9.0,9.0,51.0,9.0,139.0
อำเภอกงหรา2/47ตำบลชะรัด.pdf,9,FAIL,MISMATCH,,2.0,490.0,18.0,9.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,213.0,26.0,2.0,1.0,36.0,4.0,208.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,0,FAIL,MISMATCH,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร,100.0,100.0,100.0,100.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,140.0,53.0,2.0,0.0,79.0,1.0,259.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,1,PASS,OK,,399.0,388.0,10.0,1.0,,,179.0,17.0,0.0,0.0,27.0,1.0,164.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,2,FAIL,OK,,536.0,511.0,18.0,5.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,183.0,33.0,1.0,2.0,35.0,1.0,25.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,3,FAIL,MISMATCH,single_party_dominance: วรท เทอดวีระพงศ์,2.0,214.0,3.0,5.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,372.0,5.0,0.0,0.0,16.0,9.0,152.0
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,4,FAIL,MISMATCH,,,,,,,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,,,,,,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,5,FAIL,OK,score_outlier: อธิคม ขุนแก้ว,2.0,568.0,20.0,3.0,,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,195.0,30.0,3.0,8.0,74.0,2.0,261.0
