source_file,unit_index,form_type,status,cross_status,issues,stat_flags
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,0,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['อธิคม ขุนแก้ว'] is None,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,3,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,4,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,5,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,6,constituency,FAIL,MISMATCH,sum(scores.values()) does not equal ballot_valid; ballot_no_vote is None; ballot_total differs between forms,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,0,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์
อำเภอกงหรา2/47ตำบลชะรัด.pdf,1,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,ballot_total_outlier
อำเภอกงหรา2/47ตำบลชะรัด.pdf,2,constituency,FAIL,MISMATCH,scores['อธิคม ขุนแก้ว'] is None; ballot_total differs between forms,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,3,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,4,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,5,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,6,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,8,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,score_outlier: อธิคม ขุนแก้ว
อำเภอกงหรา2/47ตำบลชะรัด.pdf,9,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,0,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,2,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,3,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,4,constituency,FAIL,MISMATCH,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,5,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,score_outlier: อธิคม ขุนแก้ว
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,6,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,7,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: อธิคม ขุนแก้ว
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,8,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,1,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,2,constituency,FAIL,MISMATCH,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,3,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,4,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,5,constituency,FAIL,MISMATCH,scores['อธิคม ขุนแก้ว'] is None; ballot_total differs between forms,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,6,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,1,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ศุภกร ขุนชิต; single_party_dominance: พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: สมเสริม ชูรักษ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: ศุภกร ขุนชิต; score_outlier: พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง; score_outlier: ภพเอกอัคร อินทรโม
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,4,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,5,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,6,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,7,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; ballot_total differs between forms,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,8,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,10,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,11,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,0,constituency,FAIL,MISMATCH,parse_error: No structured election values found in OCR text; ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['วรท เทอดวีระพงศ์'] is None; scores['ศุภกร ขุนชิต'] is None; scores['พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง'] is None; scores['อธิคม ขุนแก้ว'] is None; scores['ภพเอกอัคร อินทรโม'] is None; scores['สมเสริม ชูรักษ์'] is None; scores['นิติศักดิ์ ธรรมเพชร'] is None; ballot_total differs between forms,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,1,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,3,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,4,constituency,FAIL,MISMATCH,sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,5,constituency,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,7,constituency,FAIL,OK,scores['สมเสริม ชูรักษ์'] is None,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,9,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,10,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,11,constituency,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: ศุภกร ขุนชิต; score_outlier: ภพเอกอัคร อินทรโม; score_outlier: นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,12,constituency,FAIL,OK,sum(scores.values()) does not equal ballot_valid,score_outlier: สมเสริม ชูรักษ์
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,13,constituency,PASS,MISMATCH,ballot_total differs between forms,
อำเภอศรีนครินทร์/45ตำบลชุมพล.pdf,14,constituency,FAIL,MISMATCH,sum(scores.values()) does not equal ballot_valid; ballot_total differs between forms,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,0,partylist,FAIL,OK,scores['ไทยทรัพย์ทวี'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['เสรีรวมไทย'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['ไทยก้าวหน้า'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ประชาชาติ'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['พลังไทยรักชาติ'] is None,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,1,partylist,FAIL,OK,scores['มิติใหม่'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,2,partylist,FAIL,OK,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,single_party_dominance: ประชาธิปัตย์
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,3,partylist,FAIL,MISMATCH,ballot_no_vote is None; scores['ไทยทรัพย์ทวี'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['วิชชั่นใหม่'] is None; scores['ไทยภักดี'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['ประชาชาติ'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ความหวังใหม่'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: ไทยพิทักษ์ธรรม; score_outlier: ไทยรวมไทย
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,4,partylist,FAIL,MISMATCH,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['ไทยทรัพย์ทวี'] is None; scores['เพื่อชาติไทย'] is None; scores['ใหม่'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['รวมไทยสร้างชาติ'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['เพื่อไทย'] is None; scores['ทางเลือกไทย'] is None; scores['เศรษฐกิจ'] is None; scores['เสรีรวมไทย'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['ประชาธิปัตย์'] is None; scores['ไทยก้าวหน้า'] is None; scores['ไทยภักดี'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['ประชาชาติ'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['ภูมิใจไทย'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาชน'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,5,partylist,FAIL,MISMATCH,scores['ไทยทรัพย์ทวี'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาธิปัตย์'] is None; scores['ประชากรไทย'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; ballot_total differs between forms,score_outlier: เครือข่ายชาวนาแห่งประเทศไทย
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,6,partylist,FAIL,MISMATCH,scores['ไทยทรัพย์ทวี'] is None; scores['มิติใหม่'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,7,partylist,FAIL,OK,scores['ไทยทรัพย์ทวี'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาไทย'] is None; scores['ประชาอาสาชาติ'] is None,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,0,partylist,FAIL,OK,scores['มิติใหม่'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['เสรีรวมไทย'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['ไทยก้าวหน้า'] is None; scores['ไทยภักดี'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['พลังไทยรักชาติ'] is None,single_party_dominance: ประชาธิปัตย์; score_outlier: ประชาธิปัตย์; score_outlier: ประชากรไทย
อำเภอกงหรา2/47ตำบลชะรัด.pdf,1,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชากรไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; ballot_total differs between forms,single_party_dominance: ประชาธิปัตย์; single_party_dominance: ภูมิใจไทย
อำเภอกงหรา2/47ตำบลชะรัด.pdf,2,partylist,FAIL,MISMATCH,ballot_valid + ballot_invalid + ballot_no_vote does not equal ballot_total; scores['มิติใหม่'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['รวมพลังประชาชน'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['ไทยก้าวหน้า'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['สร้างอนาคตไทย'] is None; scores['รักชาติ'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['กล้าธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยสร้างไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ไทยรวมไทย'] is None; scores['พลังไทยรักชาติ'] is None; ballot_total differs between forms,score_outlier: ความหวังใหม่
