source_file,unit_index,status,cross_status,stat_flags,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,cleaning_notes,issues,ไทยทรัพย์ทวี,เพื่อชาติไทย,ใหม่,มิติใหม่,รวมใจไทย,รวมไทยสร้างชาติ,พลวัต,ประชาธิปไดยใหม่,เพื่อไทย,ทางเลือกไทย,เศรษฐกิจ,เสรีรวมไทย,รวมพลังประชาชน,ท้องที่ไทย,อนาคตไทย,พลังเพื่อไทย,ไทยชนะ,พลังสังคมใหม่,สังคมประชาธิปไดยไทย,ฟิวชัน,ไทรวมพลัง,ก้าวอิสระ,ปวงชนไทย,วิชชั่นใหม่,เพื่อชีวิตใหม่,คลองไทย,ประชาธิปัตย์,ไทยก้าวหน้า,ไทยภักดี,แรงงานสร้างชาติ,ประชากรไทย,ครูไทยเพื่อประชาชน,ประชาชาติ,สร้างอนาคตไทย,รักชาติ,ไทยพร้อม,ภูมิใจไทย,พลังธรรมใหม่,กรีน,ไทยธรรม,แผ่นดินธรรม,กล้าธรรม,พลังประชารัฐ,โอกาสใหม่,เป็นธรรม,ประชาชน,ประชาไทย,ไทยสร้างไทย,ไทยก้าวใหม่,ประชาอาสาชาติ,พร้อม,เครือข่ายชาวนาแห่งประเทศไทย,ไทยพิทักษ์ธรรม,ความหวังใหม่,ไทยรวมไทย,เพื่อบ้านเมือง,พลังไทยรักชาติ
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,0,FAIL,OK,single_party_dominance: เพื่อชาติไทย; single_party_dominance: ใหม่; single_party_dominance: มิติใหม่; single_party_dominance: รวมใจไทย; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: อนาคตไทย; single_party_dominance: พลังเพื่อไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยก้าวหน้า; single_party_dominance: ไทยภักดี; single_party_dominance: ประชาชาติ; single_party_dominance: สร้างอนาคตไทย; single_party_dominance: ภูมิใจไทย; single_party_dominance: กล้าธรรม; single_party_dominance: พลังประชารัฐ; single_party_dominance: ประชาชน; single_party_dominance: ไทยสร้างไทย,,1.0,2.0,31.0,,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['ท้องที่ไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['คลองไทย'] is None; scores['แรงงานสร้างชาติ'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['รักชาติ'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None,,2.0,1.0,1.0,1.0,12.0,,,29.0,,6.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,170.0,1.0,4.0,,,,1.0,1.0,,,91.0,,,,,5.0,1.0,,,2.0,,3.0,,,,,,,,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,1,FAIL,OK,score_outlier: รักชาติ; score_outlier: กล้าธรรม,,,,,,ballot_total is None; ballot_valid is None; ballot_invalid is None; ballot_no_vote is None; scores['เพื่อชาติไทย'] is None; scores['มิติใหม่'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['คลองไทย'] is None; scores['ประชากรไทย'] is None; scores['ครูไทยเพื่อประชาชน'] is None; scores['สร้างอนาคตไทย'] is None; scores['ไทยพร้อม'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None,1.0,,1.0,,1.0,12.0,,,22.0,,16.0,9.0,9.0,,,,1.0,,,,,,,,1.0,,218.0,1.0,1.0,1.0,,,1.0,,2.0,,95.0,1.0,2.0,,,6.0,,,,9.0,,1.0,,,,,,,,,2.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,2,FAIL,OK,,,945.0,6.0,14.0,,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ปวงชนไทย'] is None; scores['วิชชั่นใหม่'] is None; scores['พลังประชารัฐ'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,,2.0,0.0,0.0,1.0,9.0,,,30.0,,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,227.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,1.0,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,3,FAIL,OK,single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: ประชาธิปัตย์,,6.0,57.0,52.0,,ballot_total is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ภูมิใจไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,1.0,1.0,2.0,0.0,0.0,7.0,0.0,,20.0,,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,141.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,4,FAIL,OK,single_party_dominance: เพื่อชาติไทย; single_party_dominance: ใหม่; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ปวงชนไทย; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยก้าวหน้า; single_party_dominance: ไทยภักดี; single_party_dominance: แรงงานสร้างชาติ; single_party_dominance: ครูไทยเพื่อประชาชน; single_party_dominance: ประชาชาติ; single_party_dominance: รักชาติ; single_party_dominance: ภูมิใจไทย; single_party_dominance: กล้าธรรม; single_party_dominance: ประชาชน; single_party_dominance: ไทยสร้างไทย,,1.0,2.0,3.0,ballot_valid: '๑' → 1 (thai digit); ballot_invalid: '๒' → 2 (thai digit); ballot_no_vote: '๓' → 3 (thai digit),ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['มิติใหม่'] is None; scores['รวมใจไทย'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['ท้องที่ไทย'] is None; scores['อนาคตไทย'] is None; scores['พลังเพื่อไทย'] is None; scores['ไทยชนะ'] is None; scores['พลังสังคมใหม่'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['ไทรวมพลัง'] is None; scores['ก้าวอิสระ'] is None; scores['วิชชั่นใหม่'] is None; scores['เพื่อชีวิตใหม่'] is None; scores['ประชากรไทย'] is None; scores['สร้างอนาคตไทย'] is None; scores['ไทยพร้อม'] is None; scores['พลังธรรมใหม่'] is None; scores['กรีน'] is None; scores['ไทยธรรม'] is None; scores['แผ่นดินธรรม'] is None; scores['พลังประชารัฐ'] is None; scores['โอกาสใหม่'] is None; scores['เป็นธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None; scores['พร้อม'] is None; scores['เครือข่ายชาวนาแห่งประเทศไทย'] is None; scores['ไทยพิทักษ์ธรรม'] is None; scores['ความหวังใหม่'] is None; scores['ไทยรวมไทย'] is None; scores['เพื่อบ้านเมือง'] is None; scores['พลังไทยรักชาติ'] is None,,5.0,4.0,,,9.0,,,28.0,,5.0,2.0,1.0,,,,,,,,,,1.0,,,1.0,177.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,101.0,,,,,2.0,,,,1.0,,2.0,,,,,,,,,
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,5,FAIL,OK,single_party_dominance: ใหม่; single_party_dominance: รวมใจไทย; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ไทรวมพลัง; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยก้าวหน้า; single_party_dominance: ไทยภักดี; single_party_dominance: ประชาชาติ; single_party_dominance: รักชาติ; single_party_dominance: ภูมิใจไทย; single_party_dominance: ประชาชน; single_party_dominance: ไทยสร้างไทย,,1.0,2.0,3.0,ballot_valid: '๑' → 1 (thai digit); ballot_invalid: '๒' → 2 (thai digit); ballot_no_vote: '๓' → 3 (thai digit),ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['พลวัต'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,,0.0,3.0,0.0,1.0,4.0,,,16.0,,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,0.0,1.0,222.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,6,FAIL,OK,score_outlier: ความหวังใหม่,,733.0,4.0,28.0,,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,,1.0,1.0,0.0,2.0,10.0,0.0,,31.0,,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,180.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,83.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,7,FAIL,OK,,,436.0,5.0,24.0,,ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,,2.0,0.0,0.0,1.0,9.0,3.0,,21.0,,7.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,227.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,88.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,8,FAIL,OK,single_party_dominance: เพื่อชาติไทย; single_party_dominance: รวมใจไทย; single_party_dominance: รวมไทยสร้างชาติ; single_party_dominance: เพื่อไทย; single_party_dominance: เศรษฐกิจ; single_party_dominance: เสรีรวมไทย; single_party_dominance: รวมพลังประชาชน; single_party_dominance: ก้าวอิสระ; single_party_dominance: คลองไทย; single_party_dominance: ประชาธิปัตย์; single_party_dominance: ไทยภักดี; single_party_dominance: สร้างอนาคตไทย; single_party_dominance: ภูมิใจไทย; single_party_dominance: พลังธรรมใหม่; single_party_dominance: กรีน; single_party_dominance: กล้าธรรม; single_party_dominance: โอกาสใหม่; single_party_dominance: ประชาชน; single_party_dominance: ประชาไทย; single_party_dominance: ไทยสร้างไทย; score_outlier: เพื่อชาติไทย,,1.0,2.0,3.0,ballot_valid: '๑' → 1 (thai digit); ballot_invalid: '๒' → 2 (thai digit); ballot_no_vote: '๓' → 3 (thai digit),ballot_total is None; scores['ไทยทรัพย์ทวี'] is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,,7.0,0.0,0.0,1.0,10.0,0.0,,23.0,,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,0.0,1.0,207.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,4.0,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5-17/2 ผลนอกเขต เขต 2 1_10.pdf,9,FAIL,OK,score_outlier: พลังประชารัฐ,,741.0,8.0,106.0,,ballot_total is None; scores['ประชาธิปไดยใหม่'] is None; scores['ทางเลือกไทย'] is None; scores['สังคมประชาธิปไดยไทย'] is None; scores['ฟิวชัน'] is None; scores['วิชชั่นใหม่'] is None; scores['แผ่นดินธรรม'] is None; scores['ประชาไทย'] is None; scores['ไทยก้าวใหม่'] is None; scores['ประชาอาสาชาติ'] is None,0.0,1.0,0.0,1.0,1.0,9.0,1.0,,22.0,,11.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,244.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,1.0,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
