2026-05-07 22:52:39,616 | INFO | root | Starting pipeline step: all
2026-05-07 22:52:39,618 | INFO | root | Found 6 raw PDF(s) in C:\chula\P3_T2\dsde\Phatthalung-District2-Election-Analysis\data\raw
2026-05-07 22:52:39,619 | INFO | root | Skip 46ตำบลสมหวัง.pdf because split outputs already exist
2026-05-07 22:52:39,619 | INFO | root | Skip 47ตำบลชะรัด.pdf because split outputs already exist
2026-05-07 22:52:39,620 | INFO | root | Skip 42ตำบลลำสินธ์ุ.pdf because split outputs already exist
2026-05-07 22:52:39,620 | INFO | root | Skip 43ตำบลอ่างทอง.pdf because split outputs already exist
2026-05-07 22:52:39,621 | INFO | root | Skip 44ตำบลบ้านนา.pdf because split outputs already exist
2026-05-07 22:52:39,621 | INFO | root | Skip 45ตำบลชุมพล.pdf because split outputs already exist
2026-05-07 22:52:39,621 | INFO | root | Split summary: {'processed': 0, 'skipped': 6, 'failed': 0, 'total': 6}
2026-05-07 22:52:39,623 | INFO | ocr | Starting OCR for constituency with provider=llamaparse and 6 PDF(s)
2026-05-07 22:52:45,370 | INFO | httpx | HTTP Request: POST https://api.cloud.llamaindex.ai/api/v1/beta/files "HTTP/1.1 201 Created"
2026-05-07 22:52:46,068 | INFO | httpx | HTTP Request: POST https://api.cloud.llamaindex.ai/api/v2/parse "HTTP/1.1 200 OK"
2026-05-07 22:52:47,385 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz "HTTP/1.1 200 OK"
2026-05-07 22:52:49,703 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz "HTTP/1.1 200 OK"
2026-05-07 22:52:52,997 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz "HTTP/1.1 200 OK"
2026-05-07 22:52:57,292 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz "HTTP/1.1 200 OK"
2026-05-07 22:53:03,121 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz "HTTP/1.1 200 OK"
2026-05-07 22:53:08,951 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz "HTTP/1.1 200 OK"
2026-05-07 22:53:09,480 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-hcej1abb5tks8t9o14eiwyzr8bpz?expand=markdown_full&expand=text_full "HTTP/1.1 200 OK"
2026-05-07 22:53:12,014 | INFO | httpx | HTTP Request: POST https://api.cloud.llamaindex.ai/api/v1/beta/files "HTTP/1.1 201 Created"
2026-05-07 22:53:12,463 | INFO | httpx | HTTP Request: POST https://api.cloud.llamaindex.ai/api/v2/parse "HTTP/1.1 200 OK"
2026-05-07 22:53:13,773 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb "HTTP/1.1 200 OK"
2026-05-07 22:53:16,138 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb "HTTP/1.1 200 OK"
2026-05-07 22:53:19,460 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb "HTTP/1.1 200 OK"
2026-05-07 22:53:23,777 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb "HTTP/1.1 200 OK"
2026-05-07 22:53:29,617 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb "HTTP/1.1 200 OK"
2026-05-07 22:53:35,466 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb "HTTP/1.1 200 OK"
2026-05-07 22:53:35,955 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-taxoizf8z35c4a5oczzuetjk19hb?expand=markdown_full&expand=text_full "HTTP/1.1 200 OK"
2026-05-07 22:53:38,357 | INFO | httpx | HTTP Request: POST https://api.cloud.llamaindex.ai/api/v1/beta/files "HTTP/1.1 201 Created"
2026-05-07 22:53:38,800 | INFO | httpx | HTTP Request: POST https://api.cloud.llamaindex.ai/api/v2/parse "HTTP/1.1 200 OK"
2026-05-07 22:53:40,118 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-3jtq1m3kg4p311npjjb5grmv3zmi "HTTP/1.1 200 OK"
2026-05-07 22:53:42,544 | INFO | httpx | HTTP Request: GET https://api.cloud.llamaindex.ai/api/v2/parse/pjb-3jtq1m3kg4p311npjjb5grmv3zmi "HTTP/1.1 200 OK"
