source_file,unit_index,form_type,ballot_total,ballot_valid,turnout,stat_flags
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,0,constituency,316.0,308.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,1,constituency,665.0,625.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,2,constituency,396.0,379.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,3,constituency,359.0,332.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,4,constituency,413.0,392.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,5,constituency,2.0,345.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,6,constituency,2.0,411.0,,
อำเภอกงหรา2/46ตำบลสมหวัง.pdf,7,constituency,197.0,186.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,0,constituency,593.0,565.0,,single_party_dominance: วรท เทอดวีระพงศ์; score_outlier: วรท เทอดวีระพงศ์
อำเภอกงหรา2/47ตำบลชะรัด.pdf,1,constituency,500021.0,3317.0,,ballot_total_outlier
อำเภอกงหรา2/47ตำบลชะรัด.pdf,2,constituency,655.0,619.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,3,constituency,351.0,347.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,4,constituency,999.0,383.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,5,constituency,2.0,411.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,6,constituency,272.0,264.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,7,constituency,617.0,590.0,,
อำเภอกงหรา2/47ตำบลชะรัด.pdf,8,constituency,75.0,727.0,,score_outlier: อธิคม ขุนแก้ว
อำเภอกงหรา2/47ตำบลชะรัด.pdf,9,constituency,2.0,490.0,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,0,constituency,100.0,100.0,,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,1,constituency,399.0,388.0,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,2,constituency,536.0,511.0,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,3,constituency,2.0,214.0,,single_party_dominance: วรท เทอดวีระพงศ์
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,4,constituency,,,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,5,constituency,2.0,568.0,,score_outlier: อธิคม ขุนแก้ว
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,6,constituency,59300.0,581.0,,
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,7,constituency,26.0,25.0,,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: อธิคม ขุนแก้ว
อำเภอศรีนครินทร์/42ตำบลลำสินธ์ุ.pdf,8,constituency,2.0,225.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,0,constituency,450.0,439.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,1,constituency,2.0,363.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,2,constituency,,,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,3,constituency,2.0,536.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,4,constituency,2.0,290.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,5,constituency,223.0,214.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,6,constituency,2.0,285.0,,
อำเภอศรีนครินทร์/43ตำบลอ่างทอง.pdf,7,constituency,250.0,242.0,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,0,constituency,619.0,582.0,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,1,constituency,2.0,1.0,,single_party_dominance: วรท เทอดวีระพงศ์; single_party_dominance: ศุภกร ขุนชิต; single_party_dominance: พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง; single_party_dominance: ภพเอกอัคร อินทรโม; single_party_dominance: สมเสริม ชูรักษ์; single_party_dominance: นิติศักดิ์ ธรรมเพชร; score_outlier: ศุภกร ขุนชิต; score_outlier: พ.ต.อ.พงศ์พสิษฐ์ ทองด้วง; score_outlier: ภพเอกอัคร อินทรโม
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,2,constituency,501.0,482.0,,
อำเภอศรีนครินทร์/44ตำบลบ้านนา.pdf,3,constituency,439.0,422.0,,
