province,registrar,subdistrict,electorate,location,latitude,longitude
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านคลองลำ,7.5077431,100.0024084
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประชาร่วมใจ (ช่องเตย),7.5077431,100.0024084
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านสมหวังตก,7.52108,100.008
พัทลุง,อำเภอกงหรา,สมหวัง,2,โรงเรียนวัดหวัง,7.5076504,99.9837692
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาการเปรียญวัดสมหวัง,7.507084499999999,99.9848915
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านไสคุณเปลือย,7.4978326,100.015403
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านพรุนาแด้,7.4922222,100.0025
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านทุ่งเลียบ,7.550502400000001,100.0024084
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านควนบก,7.7485644,100.007979
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลา อพป.บ้านดอนนูด,7.7484794,100.0080005
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านโคกวัด,7.747440399999999,99.9966606
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านโคกวา,7.7516832,100.0132899
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านเพิง,7.764699,100.0024084
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านควนพลี,7.7625474,100.0007649
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านโพธิ์,7.764699,100.0024084
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านข่อยม้า,7.764699,100.0024084
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้าน หมู่ที่ 9 บ้านควนขนุน,7.735698699999999,100.0077949
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,7.7777536,100.1167953
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลากลางบ้านหัวเลี้ยว,7.782416400000001,100.1591213
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาทวดวิรุฬเจ้าแม่อุบล,7.7872498,100.1162419
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านบนออก,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านปลายตรอก,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านโคกศักดิ์,7.814868300000001,100.1479182
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,7.876837900000001,100.0242995
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านโคกเมา,7.814868300000001,100.1479182
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านบนตก,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ทะเลน้อย,2,ศาลาประจำหมู่บ้านบ้านบนกลาง,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านศาลาต้นรักษ์,7.679982700000001,99.9576849
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านพังดาน,7.670382399999999,99.9823069
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านเกาะยาง,7.685908899999999,99.9794414
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านหนองในวัง,7.679982700000001,99.9576849
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านนาท่อม,7.591457699999999,100.0019597
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านขันหมู่,7.668115999999999,99.955747
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านสะพานข่อย,7.6901421,99.9402381
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านโงกน้ำ,7.707698400000001,99.9269198
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านทุ่งสำโรง,7.679982700000001,99.9576849
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านโรงรม,7.679982700000001,99.9576849
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านไสควายฟัน,7.679982700000001,99.9576849
พัทลุง,อำเภอควนขนุน,นาขยาด,2,ศาลาประจำหมู่บ้านบ้านเขาวังทอง,7.679982700000001,99.9576849
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาอเนกประสงค์บ้านเขานม (อบต.หลังเก่า),7.6738819,100.0809748
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านระหว่างควน,7.6920875,100.0469114
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านควนปริง,7.681553500000001,100.0052044
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,โรงเรียนทุ่งยางเปล,7.653512500000001,100.0357031
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านพนมวังก์,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านทุ่งขึงหนัง,7.6731922,100.0191857
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านไสยวน,7.688851199999999,100.0064228
พัทลุง,อำเภอควนขนุน,พนมวังก์,2,ศาลาประจำหมู่บ้านบ้านเกาะอ้ายเฒ่า,7.697101200000001,100.0275755
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านกองเกวียน,7.828554299999999,100.0247788
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านแหลมโตนด,7.812371,100.049519
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านมาบเนียน,7.838152273124791,100.0744355760674
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านเตง(โคกถิน),7.838233,100.0031462
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านหนองสามก้อน,7.828554299999999,100.0247788
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านทุ่งใน,7.828554299999999,100.0247788
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านบนลาน,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลประจำหมู่บ้านบ้านเสือสะอาด,7.828554299999999,100.0247788
พัทลุง,อำเภอควนขนุน,แหลมโตนด,2,ศาลาประจำหมู่บ้านบ้านในตลาด,7.3838149,100.2598974
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านปลายคลอง,7.792807099999998,100.0611429
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านปันแต,7.791803600000001,100.0351252
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านสำนักกอ,7.804429099999999,100.0067757
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านปากสระ,7.804978500000001,100.0569463
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านควนปันแต,7.8043368,100.0275755
พัทลุง,อำเภอควนขนุน,ปันแต,2,ศาลาประจำหมู่บ้านบ้านในไร่,7.7882409,100.0275755
