registrar,subdistrict,location,district,source_subdistrict_pdf,polling_unit_no,unit_index,polling_place_pdf,unit_match_method,unit_match_score,unit_match_note
อำเภอควนขนุน,แหลมโตนด,ศาลประจำหมู่บ้านบ้านเสือสะอาด,ควนขนุน,แหลมโตนด,8,7,ศาลาประจ าหมู่บ้านบ้านเสือสะอาด,location_fuzzy,0.9831,
อำเภอควนขนุน,พนางตุง,ศาลาเอนกประสงค์ หมู่ที่ 13,ควนขนุน,พนางตุง,13,12,ศาลาอเนกประสงค์หมู่ที่ 13,location_fuzzy,0.9583,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านสำนักปราง หมู่ที่ 1,ศรีบรรพต,เขาย่า,1,0,ศาลาประจ าหมู่บ้าน บ้านส านักปราง,location_fuzzy,0.8824,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านสะพานยาง หมู่ที่ 2,ศรีบรรพต,เขาย่า,2,1,ศาลาประจ าหมู่บ้าน บ้านสะพานยาง,location_fuzzy,0.8788,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านม่วง หมู่ที่ 3,ศรีบรรพต,เขาย่า,3,2,ศาลาประจ าหมู่บ้าน บ้านม่วง,location_fuzzy,0.8621,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านเขาย่าออก หมู่ที่ 4,ศรีบรรพต,เขาย่า,4,3,ศาลาประจ าหมู่บ้าน บ้านเขาย่าออก,location_fuzzy,0.8824,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดตกหมู่ที่ 5,ศรีบรรพต,เขาย่า,5,4,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะเร็ดตก,location_fuzzy,0.8889,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านเขาย่าตก หมู่ที่ 6,ศรีบรรพต,เขาย่า,6,5,ศาลาประจ าหมู่บ้าน บ้านเขาย่าตก,location_fuzzy,0.8788,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านโพรงงู หมู่ที่ 7,ศรีบรรพต,เขาย่า,7,6,ศาลาประจ าหมู่บ้าน บ้านโพรงงู,location_fuzzy,0.871,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดออก หมู่ที่ 8,ศรีบรรพต,เขาย่า,8,7,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะเร็ดออก,location_fuzzy,0.8919,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านสำนักวา หมู่ที่ 9,ศรีบรรพต,เขาย่า,9,8,ศาลาประจ าหมู่บ้าน บ้านส านักวา,location_fuzzy,0.875,
อำเภอศรีบรรพต,เขาย่า,ศาลาประจำหมู่บ้าน บ้านหูหนาน หมู่ที่ 10,ศรีบรรพต,เขาย่า,10,9,ศาลาประจ าหมู่บ้าน บ้านหูหนาน,location_fuzzy,0.8571,
อำเภอศรีบรรพต,เขาปู่,ศาลาประจำหมู่บ้าน บ้านหน้าวัด หมู่ที่ 1,ศรีบรรพต,เขาปู่,1,0,ศาลาประจ าหมู่บ้าน บ้านหน้าวัด,location_fuzzy,0.875,
อำเภอศรีบรรพต,เขาปู่,ศาลาประจำหมู่บ้าน บ้านใสประดู่ หมู่ที่ 2,ศรีบรรพต,เขาปู่,2,1,ศาลาประจ าหมู่บ้าน บ้านใสประดู่,location_fuzzy,0.8788,
อำเภอศรีบรรพต,เขาปู่,ศาลาประจำหมู่บ้าน บ้านควนลม หมู่ที่ 3,ศรีบรรพต,เขาปู่,3,2,ศาลาประจ าหมู่บ้าน บ้านควนลม,location_fuzzy,0.8667,
อำเภอศรีบรรพต,เขาปู่,ศาลาประจำหมู่บ้าน บ้านทุ่งยูง หมู่ที่ 4,ศรีบรรพต,เขาปู่,4,3,ศาลาประจ าหมู่บ้าน บ้านทุ่งยูง,location_fuzzy,0.875,
อำเภอศรีบรรพต,เขาปู่,ศาลาประจำหมู่บ้าน บ้านด่าน หมู่ที่ 5,ศรีบรรพต,เขาปู่,5,4,ศาลาประจ าหมู่บ้าน บ้านด่าน,location_fuzzy,0.8621,
อำเภอศรีบรรพต,เขาปู่,ศาลาประจำหมู่บ้าน บ้านเหรียงงาม หมู่ที่ 6,ศรีบรรพต,เขาปู่,6,5,ศาลาประจ าหมู่บ้าน บ้านเหรียงงาม,location_fuzzy,0.8824,
