province,registrar,subdistrict,electorate,location,latitude,longitude,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,pdf_sequence,pdf_page,unit_match_method,unit_match_score,unit_match_note
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านคลองลำ,7.5077431,100.0024084,กงหรา,สมหวัง,1,0,1,ศาลาประจ าหมู่บ้านบ้านคลองล า,386,508,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประชาร่วมใจ (ช่องเตย),7.5077431,100.0024084,กงหรา,สมหวัง,2,1,2,ศาลาประชาร่วมใจ (ช่องเตย),778,509,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านสมหวังตก,7.52108,100.008,กงหรา,สมหวัง,3,2,3,ศาลาประจ าหมู่บ้านบ้านสมหวังตก,508,510,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,โรงเรียนวัดหวัง,7.5076504,99.9837692,กงหรา,สมหวัง,4,3,4,โรงเรียนวัดหวัง,478,511,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาการเปรียญวัดสมหวัง,7.507084499999999,99.9848915,กงหรา,สมหวัง,5,4,4,ศาลาการเปรียญวัดสมหวัง,483,512,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านไสคุณเปลือย,7.4978326,100.015403,กงหรา,สมหวัง,6,5,5,ศาลาประจ าหมู่บ้านบ้านไสคุณเปลือย,464,513,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านพรุนาแด้,7.4922222,100.0025,กงหรา,สมหวัง,7,6,6,ศาลาประจ าหมู่บ้านบ้านพรุนาแด้,526,514,8,location_exact_normalized,1.0,
พัทลุง,อำเภอกงหรา,สมหวัง,2,ศาลาประจำหมู่บ้านบ้านทุ่งเลียบ,7.550502400000001,100.0024084,กงหรา,สมหวัง,8,7,7,ศาลาประจ าหมู่บ้านบ้านทุ่งเลียบ,234,515,8,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านควนบก,7.7485644,100.007979,ควนขนุน,ควนขนุน,1,0,1,ศาลาประจ าหมู่บ้านบ้านควนบก,447,381,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลา อพป.บ้านดอนนูด,7.7484794,100.0080005,ควนขนุน,ควนขนุน,2,1,2,ศาลา อพป.บ้านดอนนูด,399,382,4,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ควนขนุน,2,ศาลาประจำหมู่บ้านบ้านโคกวัด,7.747440399999999,99.9966606,ควนขนุน,ควนขนุน,3,2,3,ศาลาประจ าหมู่บ้านบ้านโคกวัด,761,383,4,location_exact_normalized,1.0,
