pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
1,253,1,ควนขนุน,แหลมโตนด,1,ศาลาประจ าหมู่บ้านบ้านกองเกวียน,642
1,254,2,ควนขนุน,แหลมโตนด,2,ศาลาประจ าหมู่บ้านบ้านแหลมโตนด,532
1,255,3,ควนขนุน,แหลมโตนด,3,ศาลาประจ าหมู่บ้านบ้านมาบเนียน,397
1,256,4,ควนขนุน,แหลมโตนด,4,ศาลาประจ าหมู่บ้านบ้านเตง (โคกถิน),756
1,257,5,ควนขนุน,แหลมโตนด,5,ศาลาประจ าหมู่บ้านบ้านหนองสามก้อน,408
1,258,6,ควนขนุน,แหลมโตนด,6,ศาลาประจ าหมู่บ้านบ้านทุ่งใน,270
1,259,7,ควนขนุน,แหลมโตนด,7,ศาลาประจ าหมู่บ้านบ้านบนลาน,428
1,260,8,ควนขนุน,แหลมโตนด,8,ศาลาประจ าหมู่บ้านบ้านเสือสะอาด,325
1,261,9,ควนขนุน,แหลมโตนด,9,ศาลาประจ าหมู่บ้านบ้านในตลาด,332
1,262,1,ควนขนุน,ทะเลน้อย,1,ศาลาประจ าหมู่บ้านบ้านทะเลน้อย,857
1,263,2,ควนขนุน,ทะเลน้อย,2,ศาลากลางบ้านหัวเลี้ยว,402
1,264,3,ควนขนุน,ทะเลน้อย,3,ศาลาทวดวิรุฬเจ้าแม่อุบล,480
1,265,4,ควนขนุน,ทะเลน้อย,4,ศาลาประจ าหมู่บ้านบ้านบนออก,434
1,266,5,ควนขนุน,ทะเลน้อย,5,ศาลาประจ าหมู่บ้านบ้านปลายตรอก,691
1,267,6,ควนขนุน,ทะเลน้อย,6,ศาลาประจ าหมู่บ้านบ้านโคกศักดิ์,380
1,268,7,ควนขนุน,ทะเลน้อย,7,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,443
1,269,8,ควนขนุน,ทะเลน้อย,8,ศาลาประจ าหมู่บ้านบ้านโคกเมา,557
1,270,9,ควนขนุน,ทะเลน้อย,9,ศาลาประจ าหมู่บ้านบ้านบนตก,525
1,271,10,ควนขนุน,ทะเลน้อย,10,ศาลาประจ าหมู่บ้านบ้านบนกลาง,502
1,272,1,ควนขนุน,พนางตุง,1,ศาลาประจ าหมู่บ้านบ้านทะเลน้อย,531
1,273,2,ควนขนุน,พนางตุง,2,ศาลาประจ าหมู่บ้าน หมู่ที่ 2 บ้านทะเลน้อย,496
1,274,3,ควนขนุน,พนางตุง,3,โรงเรียนควนพนางตุง,859
1,275,4,ควนขนุน,พนางตุง,4,ศาลาประจ าหมู่บ้านบ้านชายคลอง,450
1,276,5,ควนขนุน,พนางตุง,5,ศาลาประจ าหมู่บ้านบ้านท่าช้าง,841
1,277,6,ควนขนุน,พนางตุง,6,ศาลาประจ าหมู่บ้านบ้านไสคลิ้ง,815
1,278,7,ควนขนุน,พนางตุง,7,ศาลาประจ าหมู่บ้านบ้านค่าย,633
1,279,8,ควนขนุน,พนางตุง,8,ที่ท าการก านันต าบลพนางตุง,915
1,280,9,ควนขนุน,พนางตุง,9,ศาลาประจ าหมู่บ้านบ้านปากคลองเก่า,205
1,281,10,ควนขนุน,พนางตุง,10,โรงเรียนบ้านธรรมเถียร,785
1,282,11,ควนขนุน,พนางตุง,11,ศาลาประจ าหมู่บ้านบ้านไทรงาม,431
1,283,12,ควนขนุน,พนางตุง,12,ศาลาเฉลิมพระเกียรติบ้านปากห้วย,686
1,284,13,ควนขนุน,พนางตุง,13,ศาลาอเนกประสงค์หมู่ที่ 13,645
1,285,1,ควนขนุน,มะกอกเหนือ(เทศบาล),1,วัดประดู่เรียง,492
1,286,2,ควนขนุน,มะกอกเหนือ(เทศบาล),1,อาคารศูนย์ออกก าลังกาย (Fitness) ทต.มะกอกเหนือ,412
1,287,3,ควนขนุน,มะกอกเหนือ(เทศบาล),1,อาคารอเนกประสงค์ (ข้างศูนย์พัฒนาเด็กเล็กบ้านปากคลอง),563
2,288,4,ควนขนุน,มะกอกเหนือ(เทศบาล),1,ศาลาเฉลิมพระเกียรติ ร.9,366
2,289,1,ควนขนุน,มะกอกเหนือ,1,โรงอาหารโรงเรียนประดู่เรียง,676
2,290,2,ควนขนุน,มะกอกเหนือ,2,ศาลาประจ าหมู่บ้านบ้านปากคลองเก่า,127
2,291,3,ควนขนุน,มะกอกเหนือ,3,ศาลาประจ าหมู่บ้านบ้านเขาอ้อ,132
2,292,4,ควนขนุน,มะกอกเหนือ,4,ศาลาประจ าหมู่บ้านบ้านค่ายเสือ,329
2,293,5,ควนขนุน,มะกอกเหนือ,5,ศาลาประจ าหมู่บ้านบ้านนาสวน,565
2,294,6,ควนขนุน,มะกอกเหนือ,6,ศาลาเอนกประสงค์โรงเรียนวัดบ้านสวน,663
2,295,7,ควนขนุน,มะกอกเหนือ,6,ศาลาการเปรียญวัดบ้านสวน,607
2,296,8,ควนขนุน,มะกอกเหนือ,7,วัดมะกอกเหนือ,510
2,297,9,ควนขนุน,มะกอกเหนือ,8,ศาลาประจ าหมู่บ้านบ้านดอนศาลา,530
2,298,10,ควนขนุน,มะกอกเหนือ,9,ที่อ่านหนังสือประจ าหมู่บ้านบ้านไสเลียบ,209
2,299,1,ควนขนุน,โตนดด้วน,1,ศาลาประจ าหมู่บ้านบ้านไสค า,322
2,300,2,ควนขนุน,โตนดด้วน,2,ศาลาประจ าหมู่บ้านบ้านโคกโดน,751
2,301,3,ควนขนุน,โตนดด้วน,3,ศาลาประจ าหมู่บ้านบ้านหนองฟ้าผ่า,299
2,302,4,ควนขนุน,โตนดด้วน,4,ศาลาประจ าหมู่บ้านบ้านป่าตอ,291
2,303,5,ควนขนุน,โตนดด้วน,5,ศาลาประจ าหมู่บ้านบ้านวังจระเข้,668
2,304,6,ควนขนุน,โตนดด้วน,6,ศาลาประจ าหมู่บ้านบ้านหนักกุล,262
2,305,7,ควนขนุน,โตนดด้วน,7,ศาลาประจ าหมู่บ้านบ้านโคกโพธิ์,822
2,306,8,ควนขนุน,โตนดด้วน,8,ศาลาประจ าหมู่บ้านบ้านไสโดน,436
2,307,9,ควนขนุน,โตนดด้วน,9,ศาลาประจ าหมู่บ้านบ้านโตนดด้วน หมู่ที่ 9,516
2,308,10,ควนขนุน,โตนดด้วน,10,ศาลาประจ าหมู่บ้านบ้านตีนคลอง,325
2,309,11,ควนขนุน,โตนดด้วน,11,ศาลาประจ าหมู่บ้าน หมู่ที่ 11 บ้านไสเหรียง,454
2,310,1,ควนขนุน,ชะมวง,1,ศาลาประจ าหมู่บ้านบ้านชะมวง,715
2,311,2,ควนขนุน,ชะมวง,2|4,ศาลาการเปรียญวัดพิกุลทอง,257
2,312,3,ควนขนุน,ชะมวง,3,ศาลาประจ าหมู่บ้านบ้านศาลาต าเสา,646
2,313,4,ควนขนุน,ชะมวง,5,ศาลาประจ าหมู่บ้านบ้านหนักขัน,226
2,314,5,ควนขนุน,ชะมวง,6,ศาลาประจ าหมู่บ้านบ้านไสเตียน,605
2,315,6,ควนขนุน,ชะมวง,7,ศาลาประจ าหมู่บ้านบ้านค่ายไพออก,387
2,316,7,ควนขนุน,ชะมวง,8,ศาลาประจ าหมู่บ้านบ้านค่ายไพตก,448
2,317,8,ควนขนุน,ชะมวง,9,ศาลาประจ าหมู่บ้านบ้านไทรโกบ,468
2,318,9,ควนขนุน,ชะมวง,10,ศาลาประจ าหมู่บ้านบ้านหัวถนน,420
2,319,10,ควนขนุน,ชะมวง,11,ศาลาประจ าหมู่บ้านบ้านปาบ,257
2,320,11,ควนขนุน,ชะมวง,12,ศาลาประจ าหมู่บ้านบ้านสามหนอง,539
2,321,12,ควนขนุน,ชะมวง,13,ศาลาประจ าหมู่บ้านบ้านศาลาม่วง,336
2,322,13,ควนขนุน,ชะมวง,14,ศาลาประจ าหมู่บ้านบ้านไสตอ,552
3,323,14,ควนขนุน,ชะมวง,15,ศาลาประจ าหมู่บ้านบ้านหยีใน,668
