pdf_page,pdf_sequence,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit
1,253,ควนขนุน,แหลมโตนด,1,0,1,ศาลาประจ าหมู่บ้านบ้านกองเกวียน,642,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านกองเกวียน,7.828554299999999,100.0247788,2,47,location_exact_normalized,1.0,1,แหลมโตนด|0
1,254,ควนขนุน,แหลมโตนด,2,1,2,ศาลาประจ าหมู่บ้านบ้านแหลมโตนด,532,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านแหลมโตนด,7.812371,100.049519,2,48,location_exact_normalized,1.0,1,แหลมโตนด|1
1,255,ควนขนุน,แหลมโตนด,3,2,3,ศาลาประจ าหมู่บ้านบ้านมาบเนียน,397,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านมาบเนียน,7.838152273124791,100.0744355760674,2,49,location_exact_normalized,1.0,1,แหลมโตนด|2
1,256,ควนขนุน,แหลมโตนด,4,3,4,ศาลาประจ าหมู่บ้านบ้านเตง (โคกถิน),756,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านเตง(โคกถิน),7.838233,100.0031462,2,50,location_exact_normalized,1.0,1,แหลมโตนด|3
1,257,ควนขนุน,แหลมโตนด,5,4,5,ศาลาประจ าหมู่บ้านบ้านหนองสามก้อน,408,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านหนองสามก้อน,7.828554299999999,100.0247788,2,51,location_exact_normalized,1.0,1,แหลมโตนด|4
1,258,ควนขนุน,แหลมโตนด,6,5,6,ศาลาประจ าหมู่บ้านบ้านทุ่งใน,270,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านทุ่งใน,7.828554299999999,100.0247788,2,52,location_exact_normalized,1.0,1,แหลมโตนด|5
1,259,ควนขนุน,แหลมโตนด,7,6,7,ศาลาประจ าหมู่บ้านบ้านบนลาน,428,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านบนลาน,7.3838149,100.2598974,2,53,location_exact_normalized,1.0,1,แหลมโตนด|6
1,260,ควนขนุน,แหลมโตนด,8,7,8,ศาลาประจ าหมู่บ้านบ้านเสือสะอาด,325,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลประจำหมู่บ้านบ้านเสือสะอาด,7.828554299999999,100.0247788,2,54,location_fuzzy,0.9831,1,แหลมโตนด|7
1,261,ควนขนุน,แหลมโตนด,9,8,9,ศาลาประจ าหมู่บ้านบ้านในตลาด,332,พัทลุง,อำเภอควนขนุน,แหลมโตนด,ศาลาประจำหมู่บ้านบ้านในตลาด,7.3838149,100.2598974,2,55,location_exact_normalized,1.0,1,แหลมโตนด|8
1,262,ควนขนุน,ทะเลน้อย,1,0,1,ศาลาประจ าหมู่บ้านบ้านทะเลน้อย,857,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,7.7777536,100.1167953,2,17,location_exact_normalized,1.0,1,ทะเลน้อย|0
1,263,ควนขนุน,ทะเลน้อย,2,1,2,ศาลากลางบ้านหัวเลี้ยว,402,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลากลางบ้านหัวเลี้ยว,7.782416400000001,100.1591213,2,18,location_exact_normalized,1.0,1,ทะเลน้อย|1
1,264,ควนขนุน,ทะเลน้อย,3,2,3,ศาลาทวดวิรุฬเจ้าแม่อุบล,480,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาทวดวิรุฬเจ้าแม่อุบล,7.7872498,100.1162419,2,19,location_exact_normalized,1.0,1,ทะเลน้อย|2
1,265,ควนขนุน,ทะเลน้อย,4,3,4,ศาลาประจ าหมู่บ้านบ้านบนออก,434,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านบนออก,7.3838149,100.2598974,2,20,location_exact_normalized,1.0,1,ทะเลน้อย|3
1,266,ควนขนุน,ทะเลน้อย,5,4,5,ศาลาประจ าหมู่บ้านบ้านปลายตรอก,691,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านปลายตรอก,7.3838149,100.2598974,2,21,location_exact_normalized,1.0,1,ทะเลน้อย|4
1,267,ควนขนุน,ทะเลน้อย,6,5,6,ศาลาประจ าหมู่บ้านบ้านโคกศักดิ์,380,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านโคกศักดิ์,7.814868300000001,100.1479182,2,22,location_exact_normalized,1.0,1,ทะเลน้อย|5
1,268,ควนขนุน,ทะเลน้อย,7,6,7,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,443,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศูนย์ศิลปาชีพบ้านหัวป่าเขียว,7.876837900000001,100.0242995,2,23,location_exact_normalized,1.0,1,ทะเลน้อย|6
1,269,ควนขนุน,ทะเลน้อย,8,7,8,ศาลาประจ าหมู่บ้านบ้านโคกเมา,557,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านโคกเมา,7.814868300000001,100.1479182,2,24,location_exact_normalized,1.0,1,ทะเลน้อย|7
1,270,ควนขนุน,ทะเลน้อย,9,8,9,ศาลาประจ าหมู่บ้านบ้านบนตก,525,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านบนตก,7.3838149,100.2598974,2,25,location_exact_normalized,1.0,1,ทะเลน้อย|8
1,271,ควนขนุน,ทะเลน้อย,10,9,10,ศาลาประจ าหมู่บ้านบ้านบนกลาง,502,พัทลุง,อำเภอควนขนุน,ทะเลน้อย,ศาลาประจำหมู่บ้านบ้านบนกลาง,7.3838149,100.2598974,2,26,location_exact_normalized,1.0,1,ทะเลน้อย|9
1,272,ควนขนุน,พนางตุง,1,0,1,ศาลาประจ าหมู่บ้านบ้านทะเลน้อย,531,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านทะเลน้อย,7.7777536,100.1167953,2,101,location_exact_normalized,1.0,1,พนางตุง|0
1,273,ควนขนุน,พนางตุง,2,1,2,ศาลาประจ าหมู่บ้าน หมู่ที่ 2 บ้านทะเลน้อย,496,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้าน หมู่ที่ 2 บ้านทะเลน้อย,7.7777536,100.1167953,2,102,location_exact_normalized,1.0,1,พนางตุง|1
1,274,ควนขนุน,พนางตุง,3,2,3,โรงเรียนควนพนางตุง,859,พัทลุง,อำเภอควนขนุน,พนางตุง,โรงเรียนควนพนางตุง,7.777721799999999,100.1033782,2,103,location_exact_normalized,1.0,1,พนางตุง|2
1,275,ควนขนุน,พนางตุง,4,3,4,ศาลาประจ าหมู่บ้านบ้านชายคลอง,450,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านชายคลอง,7.7346142,100.1285201,2,104,location_exact_normalized,1.0,1,พนางตุง|3
1,276,ควนขนุน,พนางตุง,5,4,5,ศาลาประจ าหมู่บ้านบ้านท่าช้าง,841,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านท่าช้าง,7.7462876,100.1069393,2,105,location_exact_normalized,1.0,1,พนางตุง|4
1,277,ควนขนุน,พนางตุง,6,5,6,ศาลาประจ าหมู่บ้านบ้านไสคลิ้ง,815,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านไสคลิ้ง,7.7615069,100.1367166,2,106,location_exact_normalized,1.0,1,พนางตุง|5
1,278,ควนขนุน,พนางตุง,7,6,7,ศาลาประจ าหมู่บ้านบ้านค่าย,633,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านค่าย,7.767323999999999,100.08837,2,107,location_exact_normalized,1.0,1,พนางตุง|6
1,279,ควนขนุน,พนางตุง,8,7,8,ที่ท าการก านันต าบลพนางตุง,915,พัทลุง,อำเภอควนขนุน,พนางตุง,ที่ทำการกำนันตำบลพนางตุง,7.7801171,100.0898175,2,108,location_exact_normalized,1.0,1,พนางตุง|7
1,280,ควนขนุน,พนางตุง,9,8,9,ศาลาประจ าหมู่บ้านบ้านปากคลองเก่า,205,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านปากคลองเก่า,7.734145599999999,100.0256023,2,109,location_exact_normalized,1.0,1,พนางตุง|8
1,281,ควนขนุน,พนางตุง,10,9,10,โรงเรียนบ้านธรรมเถียร,785,พัทลุง,อำเภอควนขนุน,พนางตุง,โรงเรียนบ้านธรรมเถียร,7.789683200000001,100.0953331,2,110,location_exact_normalized,1.0,1,พนางตุง|9
1,282,ควนขนุน,พนางตุง,11,10,11,ศาลาประจ าหมู่บ้านบ้านไทรงาม,431,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาประจำหมู่บ้านบ้านไทรงาม,7.7781796,100.118286,2,111,location_exact_normalized,1.0,1,พนางตุง|10
1,283,ควนขนุน,พนางตุง,12,11,12,ศาลาเฉลิมพระเกียรติบ้านปากห้วย,686,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาเฉลิมพระเกียรติบ้านปากห้วย,7.7615069,100.1367166,2,112,location_exact_normalized,1.0,1,พนางตุง|11
1,284,ควนขนุน,พนางตุง,13,12,13,ศาลาอเนกประสงค์หมู่ที่ 13,645,พัทลุง,อำเภอควนขนุน,พนางตุง,ศาลาเอนกประสงค์ หมู่ที่ 13,7.7615069,100.1367166,2,113,location_fuzzy,0.9583,1,พนางตุง|12
1,285,ควนขนุน,มะกอกเหนือ(เทศบาล),1,0,1,วัดประดู่เรียง,492,พัทลุง,ท้องถิ่นเทศบาลตำบลมะกอกเหนือ,มะกอกเหนือ,วัดประดู่เรียง,7.7391571,100.0863987,2,264,location_exact_normalized,1.0,1,มะกอกเหนือ(เทศบาล)|0
1,286,ควนขนุน,มะกอกเหนือ(เทศบาล),2,1,1,อาคารศูนย์ออกก าลังกาย (Fitness) ทต.มะกอกเหนือ,412,พัทลุง,ท้องถิ่นเทศบาลตำบลมะกอกเหนือ,มะกอกเหนือ,อาคารศูนย์ออกกำลังกาย (Fitness) ทต.มะกอกเหนือ,7.7416636,100.0695367,2,265,location_exact_normalized,1.0,1,มะกอกเหนือ(เทศบาล)|1
1,287,ควนขนุน,มะกอกเหนือ(เทศบาล),3,2,1,อาคารอเนกประสงค์ (ข้างศูนย์พัฒนาเด็กเล็กบ้านปากคลอง),563,พัทลุง,ท้องถิ่นเทศบาลตำบลมะกอกเหนือ,มะกอกเหนือ,อาคารอเนกประสงค์(ข้างศูนย์พัฒนาเด็กเล็กบ้านปากคลอง),7.736405899999999,100.0686586,2,266,location_exact_normalized,1.0,1,มะกอกเหนือ(เทศบาล)|2
2,288,ควนขนุน,มะกอกเหนือ(เทศบาล),4,3,1,ศาลาเฉลิมพระเกียรติ ร.9,366,พัทลุง,ท้องถิ่นเทศบาลตำบลมะกอกเหนือ,มะกอกเหนือ,ศาลาเฉลิมพระเกียรติ ร.9,7.7416636,100.0695367,2,267,location_exact_normalized,1.0,1,มะกอกเหนือ(เทศบาล)|3
2,289,ควนขนุน,มะกอกเหนือ,1,0,1,โรงอาหารโรงเรียนประดู่เรียง,676,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,โรงอาหารโรงเรียนประดู่เรียง,7.7409914,100.0858852,2,91,location_exact_normalized,1.0,1,มะกอกเหนือ|0
2,290,ควนขนุน,มะกอกเหนือ,2,1,2,ศาลาประจ าหมู่บ้านบ้านปากคลองเก่า,127,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ศาลาประจำหมู่บ้านบ้านปากคลองเก่า,7.739052,100.0712741,2,92,location_exact_normalized,1.0,1,มะกอกเหนือ|1
2,291,ควนขนุน,มะกอกเหนือ,3,2,3,ศาลาประจ าหมู่บ้านบ้านเขาอ้อ,132,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ศาลาประจำหมู่บ้านบ้านเขาอ้อ,7.7544444,100.0663889,2,93,location_exact_normalized,1.0,1,มะกอกเหนือ|2
2,292,ควนขนุน,มะกอกเหนือ,4,3,4,ศาลาประจ าหมู่บ้านบ้านค่ายเสือ,329,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ศาลาประจำหมู่บ้านบ้านค่ายเสือ,7.7416636,100.0695367,2,94,location_exact_normalized,1.0,1,มะกอกเหนือ|3
2,293,ควนขนุน,มะกอกเหนือ,5,4,5,ศาลาประจ าหมู่บ้านบ้านนาสวน,565,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ศาลาประจำหมู่บ้านบ้านนาสวน,7.7416636,100.0695367,2,95,location_exact_normalized,1.0,1,มะกอกเหนือ|4
2,294,ควนขนุน,มะกอกเหนือ,6,5,6,ศาลาเอนกประสงค์โรงเรียนวัดบ้านสวน,663,พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,ศาลาเอนกประสงค์โรงเรียนวัดบ้านสวน,7.734133699999999,100.0518935,2,96,location_exact_normalized,1.0,1,มะกอกเหนือ|5
