district,source_subdistrict_pdf,polling_unit_no,unit_index,polling_place_pdf,latlong_location,latitude,longitude,latlong_match_method,latlong_match_score,coordinate_reused_count
ควนขนุน,แหลมโตนด,8,7,ศาลาประจ าหมู่บ้านบ้านเสือสะอาด,ศาลประจำหมู่บ้านบ้านเสือสะอาด,7.828554299999999,100.0247788,location_fuzzy,0.9831,1
ควนขนุน,พนางตุง,13,12,ศาลาอเนกประสงค์หมู่ที่ 13,ศาลาเอนกประสงค์ หมู่ที่ 13,7.7615069,100.1367166,location_fuzzy,0.9583,1
ป่าพะยอม,ป่าพะยอม,4,3,ศาลาประจ าหมู่บ้านบ้านทุ่ง,ศาลาประจำหมู่บ้านบ้านทุง,7.8521588,99.9353318,location_fuzzy,0.9796,1
ป่าพะยอม,บ้านพร้าว,1,0,เต้นท์บริเวณตลาดใหม่ป่าพะยอม,เต๊นท์บริเวณตลาดใหม่ป่าพะยอม,7.814176799999999,99.9520961,location_fuzzy,0.9643,1
ศรีบรรพต,เขาย่า,1,0,ศาลาประจ าหมู่บ้าน บ้านส านักปราง,ศาลาประจำหมู่บ้าน บ้านสำนักปราง หมู่ที่ 1,7.728210699999999,99.9004167,location_fuzzy,0.8824,1
ศรีบรรพต,เขาย่า,2,1,ศาลาประจ าหมู่บ้าน บ้านสะพานยาง,ศาลาประจำหมู่บ้าน บ้านสะพานยาง หมู่ที่ 2,7.747962100000001,99.9157776,location_fuzzy,0.8788,1
ศรีบรรพต,เขาย่า,3,2,ศาลาประจ าหมู่บ้าน บ้านม่วง,ศาลาประจำหมู่บ้าน บ้านม่วง หมู่ที่ 3,7.7458666,99.890643,location_fuzzy,0.8621,1
ศรีบรรพต,เขาย่า,4,3,ศาลาประจ าหมู่บ้าน บ้านเขาย่าออก,ศาลาประจำหมู่บ้าน บ้านเขาย่าออก หมู่ที่ 4,7.7197137,99.9199675,location_fuzzy,0.8824,1
ศรีบรรพต,เขาย่า,5,4,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะเร็ดตก,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดตกหมู่ที่ 5,7.7576419,99.9032094,location_fuzzy,0.8889,1
ศรีบรรพต,เขาย่า,6,5,ศาลาประจ าหมู่บ้าน บ้านเขาย่าตก,ศาลาประจำหมู่บ้าน บ้านเขาย่าตก หมู่ที่ 6,7.710689700000001,99.9046058,location_fuzzy,0.8788,1
ศรีบรรพต,เขาย่า,7,6,ศาลาประจ าหมู่บ้าน บ้านโพรงงู,ศาลาประจำหมู่บ้าน บ้านโพรงงู หมู่ที่ 7,7.729908200000001,99.8850586,location_fuzzy,0.871,1
ศรีบรรพต,เขาย่า,8,7,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะเร็ดออก,ศาลาประจำหมู่บ้าน บ้านโหล๊ะเร็ดออก หมู่ที่ 8,7.776026099999999,99.9199675,location_fuzzy,0.8919,1
ศรีบรรพต,เขาย่า,9,8,ศาลาประจ าหมู่บ้าน บ้านส านักวา,ศาลาประจำหมู่บ้าน บ้านสำนักวา หมู่ที่ 9,7.7206497,99.8865912,location_fuzzy,0.875,1
ศรีบรรพต,เขาย่า,10,9,ศาลาประจ าหมู่บ้าน บ้านหูหนาน,ศาลาประจำหมู่บ้าน บ้านหูหนาน หมู่ที่ 10,7.737366799999999,99.9101915,location_fuzzy,0.8571,1
ศรีบรรพต,เขาปู่,1,0,ศาลาประจ าหมู่บ้าน บ้านหน้าวัด,ศาลาประจำหมู่บ้าน บ้านหน้าวัด หมู่ที่ 1,7.704519400000001,99.8236533,location_fuzzy,0.875,1
ศรีบรรพต,เขาปู่,2,1,ศาลาประจ าหมู่บ้าน บ้านใสประดู่,ศาลาประจำหมู่บ้าน บ้านใสประดู่ หมู่ที่ 2,7.664779900000001,99.8385881,location_fuzzy,0.8788,1
ศรีบรรพต,เขาปู่,3,2,ศาลาประจ าหมู่บ้าน บ้านควนลม,ศาลาประจำหมู่บ้าน บ้านควนลม หมู่ที่ 3,7.729098599999999,99.8041245,location_fuzzy,0.8667,1
ศรีบรรพต,เขาปู่,4,3,ศาลาประจ าหมู่บ้าน บ้านทุ่งยูง,ศาลาประจำหมู่บ้าน บ้านทุ่งยูง หมู่ที่ 4,7.7451902,99.8041245,location_fuzzy,0.875,1
ศรีบรรพต,เขาปู่,5,4,ศาลาประจ าหมู่บ้าน บ้านด่าน,ศาลาประจำหมู่บ้าน บ้านด่าน หมู่ที่ 5,7.717472799999999,99.8431866,location_fuzzy,0.8621,1
ศรีบรรพต,เขาปู่,6,5,ศาลาประจ าหมู่บ้าน บ้านเหรียงงาม,ศาลาประจำหมู่บ้าน บ้านเหรียงงาม หมู่ที่ 6,7.7169567,99.8655158,location_fuzzy,0.8824,1
ศรีบรรพต,เขาปู่,7,6,ศาลาประจ าหมู่บ้าน บ้านเขาป้าแหร้,ศาลาประจำหมู่บ้าน บ้านเขาป้าแหร้ หมู่ที่ 7,7.741928,99.8292338,location_fuzzy,0.8857,1
ศรีบรรพต,เขาปู่,8,7,ศาลาประจ าหมู่บ้าน บ้านป่าตอ,ศาลาประจำหมู่บ้าน บ้านป่าตอ หมู่ที่ 8,7.699030199999999,99.8292338,location_fuzzy,0.8667,1
ศรีบรรพต,เขาปู่,9,8,ศาลาประจ าหมู่บ้าน บ้านในวัง,ศาลาประจำหมู่บ้าน บ้านในวัง หมู่ที่ 9,7.704519400000001,99.8236533,location_fuzzy,0.8667,1
ศรีบรรพต,เขาปู่,10,9,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะปราง,ศาลาประจำหมู่บ้าน บ้านโหล๊ะปราง หมู่ที่ 10,7.704519400000001,99.8236533,location_fuzzy,0.8696,1
ศรีบรรพต,เขาปู่,11,10,ศาลาประจ าหมู่บ้าน บ้านเขาปู่,ศาลาประจำหมู่บ้าน บ้านเขาปู่ หมู่ที่ 11,7.704519400000001,99.8236533,location_fuzzy,0.8571,1
ศรีบรรพต,ตะแพน,1,0,ศาลาประจ าหมู่บ้าน บ้านสวนโหนด,ศาลาประจำหมู่บ้าน บ้านสวนโหนด หมู่ที่ 1,7.6514478,99.9629591,location_fuzzy,0.875,1
ศรีบรรพต,ตะแพน,3,2,ศาลาประจ าหมู่บ้าน บ้านวังยาว,ศาลาประจำหมู่บ้าน บ้านวังยาว หมู่ที่ 3,7.639195399999998,99.8683073,location_fuzzy,0.871,1
ศรีบรรพต,ตะแพน,4,3,ศาลาประจ าหมู่บ้าน บ้านห้วยครก,ศาลาประจำหมู่บ้าน บ้านห้วยครก หมู่ที่ 4,7.6452374,99.8090063,location_fuzzy,0.875,1
ศรีบรรพต,ตะแพน,5,4,ศาลาประจ าหมู่บ้าน บ้านท่ายูง,ศาลาประจำหมู่บ้าน บ้านท่ายูง หมู่ที่ 5,7.618795599999999,99.8236533,location_fuzzy,0.871,1
ศรีบรรพต,ตะแพน,6,5,ศาลาประจ าหมู่บ้าน บ้านหน้าควน,ศาลาประจำหมู่บ้าน บ้านหน้าควน หมู่ที่ 6,7.6508473,99.9437136,location_fuzzy,0.875,1
ศรีนครินทร์,อ่างทอง,5,4,ศาลาเอนกประสงค์บ้านปากแพรก,ศาลาอเนกประสงค์บ้านปากแพรก,7.5564909,99.9744535,location_fuzzy,0.9615,1
ศรีนครินทร์,อ่างทอง,7,6,ศาลาเอนกประสงค์บ้านต้นตอ,ศาลาอเนกประสงค์บ้านต้นตอ,7.5564909,99.9744535,location_fuzzy,0.9583,1
ศรีนครินทร์,บ้านนา(เทศบาล),9,8,ศาลาประจ าหมู่บ้านบ้านวงศ์,ศาลาประจำหมู่บ้านบ้านวงค์,7.5640073,99.8794744,location_fuzzy,0.96,1
ศรีนครินทร์,บ้านนา(เทศบาล),12,11,ที่ท าการกลุ่มสตรีบ้านล าในใต้,ที่ทำการกลุ่มแม่บ้านลำในใต้,7.5640073,99.8794744,location_fuzzy,0.8727,1
กงหรา,ชะรัด(เทศบาล),5,4,อาคารส านักงานเทศบาลต าบลชะรัด,อาคารสำนักงานเทศบาลตำบลชะรัด,7.471220799999999,99.979161,location_exact_normalized,1.0,2
กงหรา,ชะรัด(เทศบาล),6,5,อาคารส านักงานเทศบาลต าบลชะรัด,อาคารสำนักงานเทศบาลตำบลชะรัด,7.471220799999999,99.979161,location_exact_normalized,1.0,2
